Electoral district number,Electoral district name,Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
35089,St. Catharines,50.7,20.7,23.9,0,3.8,0.9
35090,Toronto--St. Paul's,32.4,39.9,22.6,0,4.5,0
35091,Sarnia--Lambton,52.6,14,29.9,0,2.5,0
35092,Sault Ste. Marie,40.4,19.7,37.4,0,2.1,0.3
35093,Scarborough--Agincourt,34.1,45.6,18,0,2.3,0
35094,Scarborough Centre,34.9,31.9,30.7,0,2.6,0
35095,Scarborough--Guildwood,34.7,35.8,26.7,0,2.2,0.6
35096,Scarborough North,33.4,28.9,35.4,0,1.6,0.8
35097,Scarborough--Rouge Park,31.6,34.8,31,0,2.4,0
35098,Scarborough Southwest,31.7,29.3,34.9,0,4.1,0
35099,Simcoe--Grey,48.4,12.7,17.4,0,5.5,15.9
35100,Simcoe North,53.9,19.2,20.4,0,5.9,0.6
35101,Spadina--Fort York,20.9,24.4,49.6,0,4.2,0.9
35102,Stormont--Dundas--South Glengarry,62.1,17.9,17.5,0,2.2,0
35103,Sudbury,28.3,18,49.9,0,3,0.8
35104,Thornhill,63.2,22.5,11.5,0,2.5,0.3
35105,Thunder Bay--Rainy River,27.2,21.7,48.6,0,2.4,0
35106,Thunder Bay--Superior North,29.6,16.5,50.2,0,3,0.7
35107,Timmins--James Bay,31.9,16,49.9,0,2.2,0
35108,Toronto Centre,17.3,39.7,36.5,0,5.2,1.3
35109,Toronto--Danforth,14.3,17.6,60.8,0,6.5,0.8
35110,University--Rosedale,20.1,30.6,43.8,0,4.7,0.8
35111,Vaughan--Woodbridge,56.6,30.7,10.7,0,2,0
35112,Waterloo,41.4,38.3,14.9,0,4.7,0.7
35113,Wellington--Halton Hills,63.7,16.4,13,0,6.4,0.6
35114,Whitby,58.8,14.5,21.4,0,5,0.3
35115,Willowdale,41.5,39.2,18.9,0,0.4,0
35116,Windsor--Tecumseh,33.6,12.9,49.9,0,3,0.5
35117,Windsor West,31.6,10.9,54.3,0,2.8,0.4
35118,York Centre,48.5,33.2,15.9,0,2.3,0
35119,York--Simcoe,63.7,11.3,18.6,0,5.4,0
35120,York South--Weston,24.3,32.8,40.1,0,2.8,0
35121,Humber River--Black Creek,22.1,47,27.8,0,1.6,1.4
46001,Brandon--Souris,63.8,5.7,24.6,0,5.7,0
46002,Charleswood--St. James--Assiniboia--Headingley,57.6,18.4,20.1,0,3.9,0
46003,Churchill--Keewatinook Aski,26.1,19.9,51.7,0,2.3,0
46004,Dauphin--Swan River--Neepawa,64.5,6.3,24.8,0,4.3,0.1
46005,Elmwood--Transcona,46.9,5.2,44.8,0,3.1,0
46006,Kildonan--St. Paul,58.5,7.9,30.1,0,2.6,1
46007,Portage--Lisgar,75.8,6,10.2,0,5.6,2.4
46008,Provencher,70.4,6.7,18.2,0,3,0
46009,Saint Boniface--Saint Vital,50.1,31.2,15.8,0,2.9,0
46010,Selkirk--Interlake--Eastman,66.5,4.9,25.1,0,3.5,0.1
46011,Winnipeg Centre,27.6,11.1,53.7,0,7.1,0.6
46012,Winnipeg North,27.4,35,35.4,0,1.8,0
46013,Winnipeg South,51.7,32,14.1,0,2.1,0
46014,Winnipeg South Centre,41.2,36.6,18.3,0,3.2,0
47001,Battlefords--Lloydminster,65.9,3.4,28.1,0,2.6,0
47002,Cypress Hills--Grasslands,70.6,5.8,20.8,0,2.8,0
47003,Desnethe--Missinippi--Churchill River,46.9,5.3,45.4,0,2.5,0
47004,Carlton Trail--Eagle Creek,68.4,3.9,24.4,0,2.6,0
47005,Moose Jaw--Lake Centre--Lanigan,61,3.8,32.5,0,2.7,0
47006,Prince Albert,62.4,3.4,31.5,0,2.2,0
47007,Regina--Lewvan,43.9,8.2,45.2,0,2.8,0
47008,Regina--Qu'Appelle,53.2,4.8,38.6,0,3,0
47009,Regina--Wascana,35.7,41.8,20.1,0,2.5,0
47010,Saskatoon--Grasswood,50.2,7.3,39.8,0,2.5,0
47011,Saskatoon--University,48.6,9.6,38,0,2.9,0.9
47012,Saskatoon West,42.5,3.8,51.1,0,2.6,0
47013,Souris--Moose Mountain,72.9,5.6,18.5,0,3.1,0
47014,Yorkton--Melville,68.9,6.6,22,0,2.4,0
48001,Banff--Airdrie,70.7,8.1,13.1,0,7.7,0
48002,Battle River--Crowfoot,83.1,2.2,9.8,0,3.9,0
48003,Bow River,83.4,3.5,8.2,0,3.4,1.5
48004,Calgary Centre,55.4,19.1,15.2,0,10.3,0
48005,Calgary Confederation,52.4,17.6,15.8,0,13.7,0.4
48006,Calgary Forest Lawn,63.3,17.5,13.2,0,5.3,0.7
48007,Calgary Heritage,74.4,7.5,12.1,0,5.5,0.5
48008,Calgary Midnapore,75.9,6.4,10.6,0,6.4,0.7
48009,Calgary Nose Hill,69.3,11,12.8,0,6.7,0.1
48010,Calgary Rocky Ridge,68.5,12.6,11.5,0,7.2,0
48011,Calgary Shepard,75.5,7.2,11.1,0,5.6,0
48012,Calgary Signal Hill,64.9,15.4,10.6,0,8.8,0.3
48013,Calgary Skyview,56.3,28.6,10,0,4.6,0.4
48014,Edmonton Centre,46.2,23.7,25.8,0,3.6,0.7
48015,Edmonton Griesbach,52.5,6.6,37.5,0,3.4,0
48016,Edmonton Manning,55.5,9.1,26.6,0,2.9,6
48017,Edmonton Mill Woods,58.9,11.7,25.4,0,3,0.9
48018,Edmonton Riverbend,59.4,14.5,21.2,0,5,0
48019,Edmonton Strathcona,40.3,2.9,53.7,0,2.3,0.8
48020,Edmonton West,64.2,12.5,19.5,0,3.7,0.2
48021,Edmonton--Wetaskiwin,75.6,5.7,14.3,0,4.1,0.3
48022,Foothills,77.8,3.5,10.1,0,4.8,3.8
48023,Fort McMurray--Cold Lake,72.5,10.8,13.1,0,3.6,0
48024,Grande Prairie--Mackenzie,76.1,3.2,15.4,0,3.8,1.6
48025,Lakeland,79,5.1,11.2,0,4.2,0.5
48026,Lethbridge,52.5,9.1,30,0,4.5,3.9
