Electoral district number,Electoral district name,Last name (2015),First name (2015),Political affiliation (2015),% Votes obtained (2015)
24008,Beauport--Limoilou,Bujold,Antoine,Liberal,25.4
24008,Beauport--Limoilou,Clarke,Alupa,Conservative,30.6
24008,Beauport--Limoilou,Cote,Raymond,NDP-New Democratic Party,25.5
24008,Beauport--Limoilou,Elhak,Dalila,Green Party,2.4
24008,Beauport--Limoilou,Laborit,Bladimir,Forces et Democratie - Allier les forces de nos regions,0.2
24008,Beauport--Limoilou,Moreau,Claude,Marxist-Leninist,0.3
24009,Becancour--Nicolet--Saurel,Bastiani,Corina,Green Party,2.3
24009,Becancour--Nicolet--Saurel,Carpentier,Claude,Liberal,24.3
24009,Becancour--Nicolet--Saurel,Laberge,Yves,Conservative,11.4
24009,Becancour--Nicolet--Saurel,Plamondon,Louis,Bloc Quebecois,40
24009,Becancour--Nicolet--Saurel,Tabah,Nicolas,NDP-New Democratic Party,22.1
24010,Bellechasse--Les Etchemins--Levis,Blaney,Steven,Conservative,50.9
24010,Bellechasse--Les Etchemins--Levis,Belisle,Andre,Green Party,3.2
24010,Bellechasse--Les Etchemins--Levis,Daigle,Jean-Luc,NDP-New Democratic Party,13.6
24010,Bellechasse--Les Etchemins--Levis,Dube,Antoine,Bloc Quebecois,11.5
24010,Bellechasse--Les Etchemins--Levis,Turgeon,Jacques,Liberal,20.7
24011,Beloeil--Chambly,Chalhoub,Claude,Conservative,9.3
24011,Beloeil--Chambly,Desjardins,Karine,Liberal,29.3
24011,Beloeil--Chambly,Dube,Matthew,NDP-New Democratic Party,31.1
24011,Beloeil--Chambly,Lessard,Yves,Bloc Quebecois,27.7
24011,Beloeil--Chambly,Maher,Michael,Libertarian,0.4
24011,Beloeil--Chambly,Yansane,Fode Kerfalla,Green Party,2.3
24012,Berthier--Maskinonge,Brosseau,Ruth Ellen,NDP-New Democratic Party,42.2
24012,Berthier--Maskinonge,Burton,Cate,Green Party,1.6
24012,Berthier--Maskinonge,Destrempes,Pierre,Liberal,20.3
24012,Berthier--Maskinonge,Foucrault,Marianne,Conservative,10.2
24012,Berthier--Maskinonge,Perron,Yves,Bloc Quebecois,25.8
24013,Therese-De Blainville,Ayoub,Ramez,Liberal,32.5
24013,Therese-De Blainville,Carkner,Andrew,Green Party,2.4
24013,Therese-De Blainville,Giguere,Alain,NDP-New Democratic Party,24.9
24013,Therese-De Blainville,Guindon,Daniel,Libertarian,0.6
24013,Therese-De Blainville,Marginean,Alain,Bloc Quebecois,27.1
24013,Therese-De Blainville,Puga,Manuel,Conservative,12.4
24014,Pierre-Boucher--Les Patriotes--Vercheres,Barsalou-Duval,Xavier,Bloc Quebecois,28.6
24014,Pierre-Boucher--Les Patriotes--Vercheres,Fortin,Raphael,NDP-New Democratic Party,24.3
24014,Pierre-Boucher--Les Patriotes--Vercheres,Gagnon,Lucie,Liberal,28.3
24014,Pierre-Boucher--Les Patriotes--Vercheres,Lauzon,JiCi,Green Party,8.5
24014,Pierre-Boucher--Les Patriotes--Vercheres,Maheux,Clovis,Conservative,10.2
24015,Bourassa,Brunelle,Claude,Marxist-Leninist,0.6
24015,Bourassa,Charron,Maxime,Green Party,2.2
24015,Bourassa,Demers,Julie,Independent,1.6
24015,Bourassa,Dubourg,Emmanuel,Liberal,54.1
24015,Bourassa,Laguerre,Dolmine,NDP-New Democratic Party,14.9
24015,Bourassa,Leveille,Gilles,Bloc Quebecois,17.1
24015,Bourassa,Ndzana,Jean-Marie Floriant,Forces et Democratie - Allier les forces de nos regions,0.2
24015,Bourassa,Potasso-Justino,Jason,Conservative,9.3
24016,Brome--Missisquoi,Lusson,Catherine,NDP-New Democratic Party,24.5
24016,Brome--Missisquoi,Melchior,Patrick,Bloc Quebecois,17.5
24016,Brome--Missisquoi,Moynan,Cindy,Green Party,2.3
24016,Brome--Missisquoi,Paine,Patrick,Forces et Democratie - Allier les forces de nos regions,0.3
24016,Brome--Missisquoi,Paradis,Denis,Liberal,43.9
24016,Brome--Missisquoi,Poulin,Charles,Conservative,11.5
24017,Brossard--Saint-Lambert,Hamidi,Qais,Conservative,12.6
24017,Brossard--Saint-Lambert,Hu,Fang,Green Party,1.9
24017,Brossard--Saint-Lambert,Lachance,Suzanne,Bloc Quebecois,10.6
24017,Brossard--Saint-Lambert,Mai,Hoang,NDP-New Democratic Party,24.6
24017,Brossard--Saint-Lambert,Mendes,Alexandra,Liberal,50.3
24018,Rimouski-Neigette--Temiscouata--Les Basques,Boutin,Louise,Green Party,1.5
24018,Rimouski-Neigette--Temiscouata--Les Basques,Cadieux,Pierre,Liberal,28
24018,Rimouski-Neigette--Temiscouata--Les Basques,Carignan,Johanne,Bloc Quebecois,19.3
24018,Rimouski-Neigette--Temiscouata--Les Basques,Caron,Guy,NDP-New Democratic Party,43.1
24018,Rimouski-Neigette--Temiscouata--Les Basques,Corriveau,Sebastien CoRhino,Rhinoceros,0.6
24018,Rimouski-Neigette--Temiscouata--Les Basques,Fortin,Francis,Conservative,7.5
24019,Charlesbourg--Haute-Saint-Charles,Baudet,Nathalie,Green Party,2.2
24019,Charlesbourg--Haute-Saint-Charles,Cote,Jean,Liberal,23.2
24019,Charlesbourg--Haute-Saint-Charles,Day,Anne-Marie,NDP-New Democratic Party,20.1
24019,Charlesbourg--Haute-Saint-Charles,Paul-Hus,Pierre,Conservative,42.2
24019,Charlesbourg--Haute-Saint-Charles,Turmel,Marc Antoine,Bloc Quebecois,12.3
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Boucher,Sylvie,Conservative,33.5
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Desjardins Pelchat,Mario,Forces et Democratie - Allier les forces de nos regions,0.4
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Dufour,Sebastien,Bloc Quebecois,19.1
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Kerr,Patrick,Green Party,1.7
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Tremblay,Jonathan,NDP-New Democratic Party,18.4
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Vigneau,Jean-Roger,Liberal,26.9
24021,Ch´è_teauguay--Lacolle,Chicoine,Sylvain,NDP-New Democratic Party,23.1
24021,Ch´è_teauguay--Lacolle,Mercier,Jency,Green Party,1.9
24021,Ch´è_teauguay--Lacolle,Shanahan,Brenda,Liberal,39.1
24021,Ch´è_teauguay--Lacolle,St-Pierre,Philippe,Conservative,11.2
24021,Ch´è_teauguay--Lacolle,Stanke,Sophie,Bloc Quebecois,24.4
24021,Ch´è_teauguay--Lacolle,Sullivan,Linda,Marxist-Leninist,0.3
24022,Chicoutimi--Le Fjord,Gauthier,elise,Bloc Quebecois,20.5
24022,Chicoutimi--Le Fjord,Lemieux,Denis,Liberal,31.1
24022,Chicoutimi--Le Fjord,Morin,Dany,NDP-New Democratic Party,29.7
24022,Chicoutimi--Le Fjord,St-Gelais,Dany,Green Party,2.1
24022,Chicoutimi--Le Fjord,Ste-Marie,Caroline,Conservative,16.6
24023,Compton--Stanstead,Bibeau,Marie-Claude,Liberal,36.9
24023,Compton--Stanstead,Bonsant,France,Bloc Quebecois,20.7
24023,Compton--Stanstead,Cote,Kevin,Rhinoceros,0.6
24023,Compton--Stanstead,Labrador,Gustavo,Conservative,12.5
24023,Compton--Stanstead,Marshall,Korie,Green Party,1.9
24023,Compton--Stanstead,Rousseau,Jean,NDP-New Democratic Party,27.4
24024,Dorval--Lachine--LaSalle,Chivu,Daniela,Conservative,11.1
24024,Dorval--Lachine--LaSalle,Dhillon,Anju,Liberal,54.9
24024,Dorval--Lachine--LaSalle,J. Carbonneau,Vincent,Green Party,2.3
24024,Dorval--Lachine--LaSalle,Morin,Isabelle,NDP-New Democratic Party,21.6
24024,Dorval--Lachine--LaSalle,Ndiaye,Souleye,Independent,0.4
24024,Dorval--Lachine--LaSalle,Vaudry,Jean-Frederic,Bloc Quebecois,9.8
24025,Drummond,Bourgeois,Diane,Bloc Quebecois,22.8
24025,Drummond,Choquette,Francois,NDP-New Democratic Party,30.5
24025,Drummond,Coderre,emile,Green Party,2.4
24025,Drummond,Cote,Pierre,Liberal,26.5
24025,Drummond,Dery,Pascale,Conservative,17.7
24026,Gaspesie--Les iles-de-la-Madeleine,Boudreau,Max,Rhinoceros,0.8
24026,Gaspesie--Les iles-de-la-Madeleine,Lebouthillier,Diane,Liberal,38.7
24026,Gaspesie--Les iles-de-la-Madeleine,Morrison,Jim,Green Party,1
24026,Gaspesie--Les iles-de-la-Madeleine,Pigeon,Jean-Pierre,Conservative,6.1
24026,Gaspesie--Les iles-de-la-Madeleine,Roussy,Nicolas,Bloc Quebecois,20.9
24026,Gaspesie--Les iles-de-la-Madeleine,Toone,Philip,NDP-New Democratic Party,32.5
24027,Gatineau,Angers,Luc,Conservative,8.2
24027,Gatineau,Bellavance,Guy J,Independent,0.3
24027,Gatineau,Boily,Philippe,Bloc Quebecois,9.4
24027,Gatineau,Boivin,Francoise,NDP-New Democratic Party,26.6
24027,Gatineau,Dostaler,Guy,Green Party,1.6
24027,Gatineau,MacKinnon,Steven,Liberal,53.8
24027,Gatineau,Soubliere,Pierre,Marxist-Leninist,0.2
24028,Hochelaga,Boutin-Sweet,Marjolaine,NDP-New Democratic Party,30.9
24028,Hochelaga,Breton Fontaine,Marianne,Communist,0.3
24028,Hochelaga,Dandenault,Christine,Marxist-Leninist,0.3
24028,Hochelaga,Dang,Alexandre,Conservative,6.9
24028,Hochelaga,Lemay,Nicolas,Rhinoceros,0.8
24028,Hochelaga,Marchand,Simon,Bloc Quebecois,27.7
24028,Hochelaga,Rizqy,Marwah,Liberal,29.9
24028,Hochelaga,Saint-Cerny,Anne-Marie,Green Party,3.2
24029,Honore-Mercier,Ayala,Paulina,NDP-New Democratic Party,16.4
24029,Honore-Mercier,Beausejour,Audrey,Bloc Quebecois,12.9
24029,Honore-Mercier,Budilean,Angela,Green Party,1.6
