Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015),Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
24056,Pierrefonds--Dollard,20,58.7,16.4,3.5,1.5,0.0,26.9,30.5,34.1,5.0,3.6,0.0
24057,Pontiac,13.9,54.5,22.5,6.9,1.7,0.4,26.2,15.2,47.3,9.5,1.6,0.2
24058,Portneuf--Jacques-Cartier,44,21.5,22.1,10.7,1.8,0.0,0,6.6,42.7,20.5,2.4,0.0
24059,Quebec,21.8,28.9,27,18.8,2.9,0.5,17.8,9.0,42.6,28.0,2.2,0.4
24060,Repentigny,10.8,27.3,23.3,34.7,1.9,2,7.5,7.9,52.1,30.8,1.7,0.0
24061,Richmond--Arthabaska,31.6,24.7,24.2,17.2,1.7,0.7,24.7,7.0,32.5,33.8,2.1,0.0
24062,Riviere-des-Mille-iles,10.5,32.4,29.5,25.4,2,0.3,10.3,11.1,49.1,27.1,2.4,0.0
24063,Riviere-du-Nord,8.5,26.4,30.1,32,2.5,0.5,8.4,6.5,55.1,28.2,1.8,0.0
24064,Rosemont--La Petite-Patrie,4.3,20.7,49.2,21.1,3.1,1.7,4.3,9.1,51.1,32.8,1.7,1.0
24065,Marc-Aurele-Fortin,11.9,40.9,23.5,21.7,1.9,0.0,10.4,13.8,49.0,24.3,2.3,0.0
24066,Saint-Hyacinthe--Bagot,16.7,27.6,28.7,24.3,2.3,0.5,15.7,5.4,52.4,24.6,1.9,0.0
24067,Saint-Jean,10.8,33.2,29.1,24.8,2.1,0.0,10.7,8.8,47.5,30.5,2.5,0.0
24068,Saint-Laurent,19.5,61.6,11.5,4.7,2.4,0.3,19.1,42.9,29.1,6.4,2.1,0.4
24069,Saint-Leonard--Saint-Michel,11.1,64.7,14.8,7.2,1.8,0.3,13.6,42.2,32.3,9.6,1.8,0.5
24070,Saint-Maurice--Champlain,16.3,41.5,20.8,19.2,1.9,0.3,17.1,10.9,41.3,28.5,2.0,0.2
24071,Salaberry--Suroit,10,29.2,30.4,28.4,1.4,0.7,12.7,8.1,43.6,33.7,1.8,0.0
24072,Shefford,12.8,39,23.7,22.2,2.4,0.0,14.6,9.0,51.1,23.4,1.9,0.0
24073,Sherbrooke,9.4,29.8,37.4,20.4,2,1,9.2,9.8,43.5,35.4,1.7,0.4
24074,Vaudreuil--Soulanges,13.8,46.6,22.3,15,2.2,0.0,17.6,12.4,43.5,23.7,2.8,0.0
24075,Terrebonne,11.3,28,25.6,33,1.7,0.3,8.1,6.9,51.5,30.8,2.7,0.0
24076,Trois-Rivieres,18.6,30.2,31.8,17,1.7,0.6,13.1,10.0,49.7,24.2,1.9,1.0
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,11.9,50.8,23.4,8.6,4.8,0.5,11.9,27.5,41.5,16.0,2.8,0.3
24078,Vimy,13.4,46.2,21,16.7,2.4,0.5,12.8,20.4,42.7,21.7,1.9,0.5
35001,Ajax,34.4,55.9,8.2,0.0,1.4,0.1,44.2,37.9,15.0,0.0,2.7,0.1
35002,Algoma--Manitoulin--Kapuskasing,23.7,34.1,39.9,0.0,2.2,0.0,32.5,14.5,49.9,0.0,3.1,0.0
35003,Aurora--Oak Ridges--Richmond Hill,45.2,47.3,5.7,0.0,1.3,0.5,51.5,27.9,16.0,0.0,3.5,1.2
35004,Barrie--Innisfil,46.4,37.1,11.8,0.0,4,0.7,61.3,12.5,20.3,0.0,5.3,0.6
35005,Barrie--Springwater--Oro-Medonte,41.8,41.5,10.3,0.0,5.2,1.2,54.6,16.9,20.0,0.0,6.1,2.4
35006,Bay of Quinte,34.3,50.7,12.1,0.0,2.2,0.6,51.8,20.9,23.0,0.0,3.8,0.5
35007,Beaches--East York,16.4,49.4,30.8,0.0,2.6,0.8,22.7,30.8,41.6,0.0,4.6,0.3
35008,Brampton Centre,33.7,48.6,15.1,0.0,2.1,0.4,46.4,25.4,23.2,0.0,4.4,0.6
35009,Brampton East,23.5,52.3,23,0.0,1.1,0.0,29.5,30.7,37.6,0.0,1.7,0.0
35010,Brampton North,33,48.4,16.5,0.0,1.9,0.2,48.9,28.2,18.8,0.0,3.7,0.5
