Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
59010,Cowichan--Malahat--Langford,Green Party,16.9,7.2
59010,Cowichan--Malahat--Langford,Liberal,23.8,5.8
59010,Cowichan--Malahat--Langford,NDP-New Democratic Party,35.9,43.6
59010,Cowichan--Malahat--Langford,Other,0.6,0.3
59011,Delta,Green Party,3.2,4.7
59011,Delta,Conservative,32.8,48
59011,Delta,NDP-New Democratic Party,14.9,28.1
59011,Delta,Liberal,49.1,18.6
59012,Fleetwood--Port Kells,NDP-New Democratic Party,21.5,33.1
59012,Fleetwood--Port Kells,Conservative,29.3,47.8
59012,Fleetwood--Port Kells,Liberal,46.9,15.7
59012,Fleetwood--Port Kells,Green Party,2.4,2.6
59013,Kamloops--Thompson--Cariboo,Green Party,3.6,5.1
59013,Kamloops--Thompson--Cariboo,Conservative,35.3,52.3
59013,Kamloops--Thompson--Cariboo,Liberal,30.4,5.4
59013,Kamloops--Thompson--Cariboo,NDP-New Democratic Party,30.8,36.9
59014,Kelowna--Lake Country,NDP-New Democratic Party,14.1,21.4
59014,Kelowna--Lake Country,Conservative,39.8,58.4
59014,Kelowna--Lake Country,Liberal,46.2,11.5
59015,Kootenay--Columbia,Green Party,6.5,6.4
59015,Kootenay--Columbia,Liberal,19.5,3.5
59015,Kootenay--Columbia,NDP-New Democratic Party,37.2,38.8
59015,Kootenay--Columbia,Conservative,36.8,50.1
59016,Langley--Aldergrove,Green Party,4.4,5.3
59016,Langley--Aldergrove,Liberal,36.6,9.0
59016,Langley--Aldergrove,NDP-New Democratic Party,12.5,19.3
59016,Langley--Aldergrove,Conservative,45.6,65.8
59016,Langley--Aldergrove,Other,0.9,0.6
59017,Mission--Matsqui--Fraser Canyon,NDP-New Democratic Party,20.5,32.0
59017,Mission--Matsqui--Fraser Canyon,Green Party,5.1,4.6
59017,Mission--Matsqui--Fraser Canyon,Liberal,37.2,8.4
59017,Mission--Matsqui--Fraser Canyon,Conservative,34.9,54.5
59017,Mission--Matsqui--Fraser Canyon,Other,2.1,0.5
59018,Nanaimo--Ladysmith,Conservative,23.4,40.4
59018,Nanaimo--Ladysmith,NDP-New Democratic Party,33.2,45.3
59018,Nanaimo--Ladysmith,Green Party,19.8,7.2
59018,Nanaimo--Ladysmith,Liberal,23.5,6.7
59018,Nanaimo--Ladysmith,Other,0.2,0.5
59019,New Westminster--Burnaby,Conservative,20,34.8
59019,New Westminster--Burnaby,NDP-New Democratic Party,43.5,51.8
59019,New Westminster--Burnaby,Liberal,29,8.7
59019,New Westminster--Burnaby,Green Party,4.7,4.3
59019,New Westminster--Burnaby,Other,2.9,0.4
59020,North Okanagan--Shuswap,Conservative,39.3,55.4
59020,North Okanagan--Shuswap,Liberal,29.9,7.5
59020,North Okanagan--Shuswap,Green Party,5.2,10.7
59020,North Okanagan--Shuswap,NDP-New Democratic Party,25.6,26.5
59021,North Vancouver,Green Party,8.3,5.2
59021,North Vancouver,Conservative,26.9,47.6
59021,North Vancouver,NDP-New Democratic Party,7.8,16.9
59021,North Vancouver,Liberal,56.7,29.7
59021,North Vancouver,Other,0.3,0.6
59022,Pitt Meadows--Maple Ridge,NDP-New Democratic Party,29.6,34.9
59022,Pitt Meadows--Maple Ridge,Conservative,31.4,54.8
59022,Pitt Meadows--Maple Ridge,Liberal,33.9,5.4
59022,Pitt Meadows--Maple Ridge,Green Party,4.2,4.9
59022,Pitt Meadows--Maple Ridge,Other,0.9,0.0
59023,Port Moody--Coquitlam,Liberal,30.9,8.5
59023,Port Moody--Coquitlam,NDP-New Democratic Party,36,40.5
59023,Port Moody--Coquitlam,Conservative,29.5,46.5
59023,Port Moody--Coquitlam,Green Party,3.4,4.3
59023,Port Moody--Coquitlam,Other,0.2,0.3
59024,Prince George--Peace River--Northern Rockies,Green Party,5.2,6.1
59024,Prince George--Peace River--Northern Rockies,NDP-New Democratic Party,15.5,25.9
59024,Prince George--Peace River--Northern Rockies,Liberal,24.9,5.2
59024,Prince George--Peace River--Northern Rockies,Conservative,52.5,61.9
59024,Prince George--Peace River--Northern Rockies,Other,2,1.1
59025,Richmond Centre,Green Party,2.9,5.0
59025,Richmond Centre,NDP-New Democratic Party,11.5,18.2
59025,Richmond Centre,Conservative,44.2,58.1
59025,Richmond Centre,Liberal,41.4,18.7
59026,Esquimalt--Saanich--Sooke,NDP-New Democratic Party,35,39.4
59026,Esquimalt--Saanich--Sooke,Green Party,19.9,12.9
59026,Esquimalt--Saanich--Sooke,Conservative,17.5,37.6
59026,Esquimalt--Saanich--Sooke,Liberal,27.4,9.7
59026,Esquimalt--Saanich--Sooke,Other,0.2,0.4
59027,Saanich--Gulf Islands,Conservative,19.5,36.5
59027,Saanich--Gulf Islands,NDP-New Democratic Party,9.1,11.0
59027,Saanich--Gulf Islands,Liberal,16.7,6.1
59027,Saanich--Gulf Islands,Green Party,54.4,46.4
59027,Saanich--Gulf Islands,Other,0.4,0.0
59028,Skeena--Bulkley Valley,NDP-New Democratic Party,51.1,55.2
59028,Skeena--Bulkley Valley,Liberal,18.7,3.6
59028,Skeena--Bulkley Valley,Conservative,24.8,34.6
59028,Skeena--Bulkley Valley,Green Party,3.6,3.2
59028,Skeena--Bulkley Valley,Other,1.8,3.4
59029,South Okanagan--West Kootenay,NDP-New Democratic Party,37.3,39.4
59029,South Okanagan--West Kootenay,Liberal,28.1,7.1
59029,South Okanagan--West Kootenay,Conservative,29.8,44.8
59029,South Okanagan--West Kootenay,Green Party,4.2,8.1
59029,South Okanagan--West Kootenay,Other,0.6,0.6
59030,South Surrey--White Rock,Green Party,3.4,5.9
59030,South Surrey--White Rock,Liberal,41.5,19.1
59030,South Surrey--White Rock,NDP-New Democratic Party,10.4,19.2
59030,South Surrey--White Rock,Conservative,44,52.9
59030,South Surrey--White Rock,Other,0.7,3.0
59031,Steveston--Richmond East,Conservative,38.5,53.9
59031,Steveston--Richmond East,Liberal,45.1,18.6
59031,Steveston--Richmond East,Green Party,3.7,4.1
59031,Steveston--Richmond East,NDP-New Democratic Party,12.1,22.8
59031,Steveston--Richmond East,Other,0.6,0.5
59032,Surrey Centre,Green Party,3.5,3.6
59032,Surrey Centre,NDP-New Democratic Party,30.1,40.0
59032,Surrey Centre,Liberal,45.1,17.8
59032,Surrey Centre,Conservative,19.8,35.7
59032,Surrey Centre,Other,1.6,2.9
59033,Surrey--Newton,Liberal,56,34.1
59033,Surrey--Newton,Green Party,2.2,2.6
59033,Surrey--Newton,NDP-New Democratic Party,26.1,35.3
59033,Surrey--Newton,Conservative,15.7,27.4
59034,Vancouver Centre,Conservative,16.9,26.1
59034,Vancouver Centre,NDP-New Democratic Party,20,26.3
59034,Vancouver Centre,Green Party,5.8,15.1
59034,Vancouver Centre,Liberal,56.1,31.0
59034,Vancouver Centre,Other,1.2,1.5
59035,Vancouver East,NDP-New Democratic Party,49.9,62.8
59035,Vancouver East,Conservative,10.8,18.9
59035,Vancouver East,Green Party,9.2,7.6
59035,Vancouver East,Liberal,28.2,9.9
59035,Vancouver East,Other,2,0.7
59036,Vancouver Granville,Green Party,3.1,9.2
59036,Vancouver Granville,Conservative,26.1,35.4
59036,Vancouver Granville,NDP-New Democratic Party,26.9,24.5
59036,Vancouver Granville,Liberal,43.9,30.1
59037,North Island--Powell River,NDP-New Democratic Party,40.2,41.7
59037,North Island--Powell River,Green Party,8.2,5.2
59037,North Island--Powell River,Liberal,25.5,6.4
59037,North Island--Powell River,Conservative,26.2,46
59038,Vancouver Kingsway,NDP-New Democratic Party,45.7,51.3
59038,Vancouver Kingsway,Liberal,27.8,16.2
59038,Vancouver Kingsway,Green Party,3.3,3.5
59038,Vancouver Kingsway,Conservative,21,27.8
59038,Vancouver Kingsway,Other,2.2,1.2
59039,Vancouver Quadra,NDP-New Democratic Party,10.9,14.4
59039,Vancouver Quadra,Green Party,4.2,5.6
59039,Vancouver Quadra,Conservative,25.8,36.4
59039,Vancouver Quadra,Liberal,58.7,43.5
59039,Vancouver Quadra,Other,0.4,0.0
59040,Vancouver South,Green Party,2.6,2.2
59040,Vancouver South,NDP-New Democratic Party,14,21.1
59040,Vancouver South,Liberal,48.8,33.8
59040,Vancouver South,Conservative,33.9,42.4
59040,Vancouver South,Other,0.8,0.6
59041,Victoria,NDP-New Democratic Party,42.3,50.8
59041,Victoria,Conservative,11.8,23.6
59041,Victoria,Green Party,32.9,11.6
59041,Victoria,Liberal,11.8,14.0
59041,Victoria,Other,1.2,0.0
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,Liberal,54.6,23.8
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,NDP-New Democratic Party,9.9,21.5
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,Green Party,8.9,7.6
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,Conservative,26.2,45.8
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,Other,0.5,1.3
60001,Yukon,NDP-New Democratic Party,19.4,14.4
60001,Yukon,Liberal,53.7,32.9
60001,Yukon,Conservative,24.3,33.8
60001,Yukon,Green Party,2.6,18.9
61001,Northwest Territories,NDP-New Democratic Party,30.5,45.8
61001,Northwest Territories,Liberal,48.3,18.4
61001,Northwest Territories,Green Party,2.8,3.1
61001,Northwest Territories,Conservative,18.3,32.1
62001,Nunavut,Conservative,24.8,49.9
62001,Nunavut,NDP-New Democratic Party,26.6,19.4
62001,Nunavut,Green Party,1.5,2.0
62001,Nunavut,Liberal,47.1,28.7
