Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
24035,Lac-Saint-Jean,Bloc Quebecois,18.4,21.0
24035,Lac-Saint-Jean,Conservative,33.3,42.3
24035,Lac-Saint-Jean,Green Party,1.5,1.3
24035,Lac-Saint-Jean,Liberal,18.4,3.3
24036,Lac-Saint-Louis,Bloc Quebecois,2.7,3.1
24036,Lac-Saint-Louis,Green Party,2.9,4.3
24036,Lac-Saint-Louis,Conservative,17.4,28.4
24036,Lac-Saint-Louis,Liberal,64.1,34.1
24036,Lac-Saint-Louis,NDP-New Democratic Party,12.8,30.1
24037,LaSalle--emard--Verdun,Green Party,3.2,2.6
24037,LaSalle--emard--Verdun,Liberal,43.9,18.3
24037,LaSalle--emard--Verdun,NDP-New Democratic Party,29,45.2
24037,LaSalle--emard--Verdun,Bloc Quebecois,17,23.4
24037,LaSalle--emard--Verdun,Conservative,6.9,9.7
24038,Laurentides--Labelle,Conservative,9.8,9.3
24038,Laurentides--Labelle,Liberal,32.1,12.7
24038,Laurentides--Labelle,Green Party,2,2.5
24038,Laurentides--Labelle,NDP-New Democratic Party,26.3,43.8
24038,Laurentides--Labelle,Bloc Quebecois,29.7,31.5
24039,Laurier--Sainte-Marie,Bloc Quebecois,28.7,34.9
24039,Laurier--Sainte-Marie,Conservative,4.1,3.9
24039,Laurier--Sainte-Marie,Green Party,3.5,2.6
24039,Laurier--Sainte-Marie,NDP-New Democratic Party,38.3,46.5
24039,Laurier--Sainte-Marie,Liberal,23.7,10.7
24039,Laurier--Sainte-Marie,Other,1.8,1.3
24040,Laval--Les iles,Conservative,18.1,16.4
24040,Laval--Les iles,Liberal,47.7,20.6
24040,Laval--Les iles,NDP-New Democratic Party,19.8,47.2
24040,Laval--Les iles,Green Party,1.7,1.8
24040,Laval--Les iles,Bloc Quebecois,12.4,12.9
24040,Laval--Les iles,Other,0.3,1.1
24041,Longueuil--Charles-LeMoyne,Conservative,9.6,10.5
24041,Longueuil--Charles-LeMoyne,Bloc Quebecois,27,28.3
24041,Longueuil--Charles-LeMoyne,NDP-New Democratic Party,24.1,45.4
24041,Longueuil--Charles-LeMoyne,Green Party,2.9,2.4
24041,Longueuil--Charles-LeMoyne,Liberal,35.4,13.3
24041,Longueuil--Charles-LeMoyne,Other,0.89,0.0
24042,Levis--Lotbiniere,Green Party,1.8,1.7
24042,Levis--Lotbiniere,NDP-New Democratic Party,14.8,38.5
24042,Levis--Lotbiniere,Liberal,21.7,5.1
24042,Levis--Lotbiniere,Bloc Quebecois,11.4,14.9
24042,Levis--Lotbiniere,Conservative,50.1,39.9
24042,Levis--Lotbiniere,Other,0.2,0.0
24043,Longueuil--Saint-Hubert,NDP-New Democratic Party,31.2,50.0
24043,Longueuil--Saint-Hubert,Liberal,30,10.1
24043,Longueuil--Saint-Hubert,Green Party,2.5,2.2
24043,Longueuil--Saint-Hubert,Conservative,8.7,8.7
24043,Longueuil--Saint-Hubert,Bloc Quebecois,27.3,28.8
24043,Longueuil--Saint-Hubert,Other,0.3,0.2
24044,Louis-Hebert,Conservative,27.2,21.8
24044,Louis-Hebert,Green Party,2.5,1.6
24044,Louis-Hebert,NDP-New Democratic Party,20.8,38.7
24044,Louis-Hebert,Liberal,34.8,13.4
24044,Louis-Hebert,Bloc Quebecois,14.4,24.2
24044,Louis-Hebert,Other,0.2,0.2
24045,Louis-Saint-Laurent,NDP-New Democratic Party,15.9,39.9
24045,Louis-Saint-Laurent,Conservative,50.5,37.6
24045,Louis-Saint-Laurent,Liberal,21.4,6.4
24045,Louis-Saint-Laurent,Green Party,1.9,1.5
24045,Louis-Saint-Laurent,Bloc Quebecois,10.3,14.4
24046,Manicouagan,Conservative,10.3,11.6
24046,Manicouagan,NDP-New Democratic Party,17.5,47.7
24046,Manicouagan,Bloc Quebecois,41.3,32.7
24046,Manicouagan,Green Party,1.6,2.5
24046,Manicouagan,Liberal,29.4,5.5
24047,Megantic--L'erable,Liberal,28.1,6.0
24047,Megantic--L'erable,Conservative,35.4,49.1
24047,Megantic--L'erable,NDP-New Democratic Party,22,26.3
24047,Megantic--L'erable,Green Party,2.1,1.5
24047,Megantic--L'erable,Bloc Quebecois,12.3,16.6
24048,Mirabel,Conservative,10.1,9.2
24048,Mirabel,NDP-New Democratic Party,30.1,49.5
24048,Mirabel,Green Party,2.2,2.0
24048,Mirabel,Bloc Quebecois,31.5,31.0
24048,Mirabel,Liberal,26.1,7.8
24049,Montarville,Green Party,2.4,2.5
24049,Montarville,Conservative,10.9,9.6
24049,Montarville,Bloc Quebecois,28.4,29.1
24049,Montarville,Liberal,32.5,12.5
24049,Montarville,NDP-New Democratic Party,24.7,44.5
24049,Montarville,Other,1.1,1.8
24050,Montcalm,Green Party,1.8,3.8
24050,Montcalm,Conservative,9.6,7.9
24050,Montcalm,NDP-New Democratic Party,23.5,51.9
24050,Montcalm,Liberal,27.3,4.9
24050,Montcalm,Bloc Quebecois,36.6,31.4
24050,Montcalm,Other,1.2,0.0
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Green Party,1.7,1.5
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Bloc Quebecois,16.1,20.1
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Conservative,29,36.3
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,NDP-New Democratic Party,24.2,36.4
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Liberal,28.4,5.8
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Other,0.6,0.0
24052,Mount Royal,Bloc Quebecois,1.9,2.9
