"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Quebec",24053,"Notre-Dame-de-Grâce--Westmount",24045,"Notre-Dame-de-Grâce - Lachine"
"Quebec",24053,"Notre-Dame-de-Grâce--Westmount",24047,"Outremont"
"Quebec",24053,"Notre-Dame-de-Grâce--Westmount",24075,"Westmount - Ville-Marie"
"Quebec",24054,"Outremont",24031,"Laurier - Sainte-Marie"
"Quebec",24054,"Outremont",24044,"Mount Royal"
"Quebec",24054,"Outremont",24047,"Outremont"
"Quebec",24054,"Outremont",24075,"Westmount - Ville-Marie"
"Quebec",24055,"Papineau",24047,"Outremont"
"Quebec",24055,"Papineau",24048,"Papineau"
"Quebec",24055,"Papineau",24067,"Saint-Léonard - Saint-Michel"
"Quebec",24056,"Pierrefonds--Dollard",24049,"Pierrefonds - Dollard"
"Quebec",24057,"Pontiac",24020,"Gatineau"
"Quebec",24057,"Pontiac",24023,"Hull - Aylmer"
"Quebec",24057,"Pontiac",24050,"Pontiac"
"Quebec",24058,"Portneuf--Jacques-Cartier",24051,"Portneuf - Jacques-Cartier"
"Quebec",24059,"Québec",24037,"Louis-Hébert"
"Quebec",24059,"Québec",24052,"Québec"
"Quebec",24060,"Repentigny",24053,"Repentigny"
"Quebec",24061,"Richmond--Arthabaska",24055,"Richmond - Arthabaska"
"Quebec",24062,"Rivière-des-Mille-Îles",24040,"Marc-Aurèle-Fortin"
"Quebec",24062,"Rivière-des-Mille-Îles",24057,"Rivière-des-Mille-Îles"
"Quebec",24063,"Rivière-du-Nord",24059,"Rivière-du-Nord"
"Quebec",24064,"Rosemont--La Petite-Patrie",24047,"Outremont"
"Quebec",24064,"Rosemont--La Petite-Patrie",24061,"Rosemont - La Petite-Patrie"
"Quebec",24065,"Marc-Aurèle-Fortin",24003,"Alfred-Pellan"
"Quebec",24065,"Marc-Aurèle-Fortin",24032,"Laval"
"Quebec",24065,"Marc-Aurèle-Fortin",24033,"Laval - Les Îles"
"Quebec",24065,"Marc-Aurèle-Fortin",24040,"Marc-Aurèle-Fortin"
"Quebec",24066,"Saint-Hyacinthe--Bagot",24063,"Saint-Hyacinthe - Bagot"
"Quebec",24067,"Saint-Jean",24064,"Saint-Jean"
"Quebec",24068,"Saint-Laurent",24066,"Saint-Laurent - Cartierville"
"Quebec",24069,"Saint-Léonard--Saint-Michel",24002,"Ahuntsic"
"Quebec",24069,"Saint-Léonard--Saint-Michel",24021,"Hochelaga"
"Quebec",24069,"Saint-Léonard--Saint-Michel",24067,"Saint-Léonard - Saint-Michel"
"Quebec",24070,"Saint-Maurice--Champlain",24068,"Saint-Maurice - Champlain"
"Quebec",24070,"Saint-Maurice--Champlain",24072,"Trois-Rivières"
"Quebec",24071,"Salaberry--Suroît",24006,"Beauharnois - Salaberry"
"Quebec",24071,"Salaberry--Suroît",24073,"Vaudreuil-Soulanges"
"Quebec",24072,"Shefford",24010,"Brome - Missisquoi"
"Quebec",24072,"Shefford",24069,"Shefford"
"Quebec",24073,"Sherbrooke",24017,"Compton - Stanstead"
"Quebec",24073,"Sherbrooke",24070,"Sherbrooke"
"Quebec",24074,"Vaudreuil--Soulanges",24073,"Vaudreuil-Soulanges"
"Quebec",24075,"Terrebonne",24043,"Montcalm"
"Quebec",24075,"Terrebonne",24071,"Terrebonne - Blainville"
"Quebec",24076,"Trois-Rivières",24008,"Berthier - Maskinongé"
"Quebec",24076,"Trois-Rivières",24072,"Trois-Rivières"
"Quebec",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",24024,"Jeanne-Le Ber"
"Quebec",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",24031,"Laurier - Sainte-Marie"
"Quebec",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",24047,"Outremont"
"Quebec",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",24075,"Westmount - Ville-Marie"
"Quebec",24078,"Vimy",24003,"Alfred-Pellan"
"Quebec",24078,"Vimy",24032,"Laval"
"Quebec",24078,"Vimy",24033,"Laval - Les Îles"
"Ontario",35001,"Ajax",35001,"Ajax - Pickering"
"Ontario",35002,"Algoma--Manitoulin--Kapuskasing",35002,"Algoma - Manitoulin - Kapuskasing"
"Ontario",35002,"Algoma--Manitoulin--Kapuskasing",35056,"Nickel Belt"
"Ontario",35002,"Algoma--Manitoulin--Kapuskasing",35079,"Sault Ste. Marie"
"Ontario",35003,"Aurora--Oak Ridges--Richmond Hill",35053,"Newmarket - Aurora"
"Ontario",35003,"Aurora--Oak Ridges--Richmond Hill",35059,"Oak Ridges - Markham"
"Ontario",35003,"Aurora--Oak Ridges--Richmond Hill",35075,"Richmond Hill"
"Ontario",35004,"Barrie--Innisfil",35004,"Barrie"
"Ontario",35004,"Barrie--Innisfil",35104,"York - Simcoe"
"Ontario",35005,"Barrie--Springwater--Oro-Medonte",35004,"Barrie"
"Ontario",35005,"Barrie--Springwater--Oro-Medonte",35085,"Simcoe - Grey"
"Ontario",35005,"Barrie--Springwater--Oro-Medonte",35086,"Simcoe North"
"Ontario",35006,"Bay of Quinte",35058,"Northumberland - Quinte West"
"Ontario",35006,"Bay of Quinte",35073,"Prince Edward - Hastings"
"Ontario",35007,"Beaches--East York",35005,"Beaches - East York"
"Ontario",35008,"Brampton Centre",35006,"Bramalea - Gore - Malton"
"Ontario",35008,"Brampton Centre",35007,"Brampton - Springdale"
"Ontario",35008,"Brampton Centre",35008,"Brampton West"
"Ontario",35008,"Brampton Centre",35047,"Mississauga - Brampton South"
"Ontario",35009,"Brampton East",35006,"Bramalea - Gore - Malton"
"Ontario",35009,"Brampton East",35007,"Brampton - Springdale"
"Ontario",35009,"Brampton East",35096,"Vaughan"
"Ontario",35010,"Brampton North",35006,"Bramalea - Gore - Malton"
"Ontario",35010,"Brampton North",35007,"Brampton - Springdale"
"Ontario",35010,"Brampton North",35008,"Brampton West"
"Ontario",35011,"Brampton South",35008,"Brampton West"
"Ontario",35011,"Brampton South",35047,"Mississauga - Brampton South"
"Ontario",35012,"Brampton West",35008,"Brampton West"
"Ontario",35013,"Brantford--Brant",35009,"Brant"
"Ontario",35014,"Bruce--Grey--Owen Sound",35026,"Bruce - Grey - Owen Sound"
"Ontario",35015,"Burlington",35003,"Ancaster - Dundas - Flamborough - Westdale"
"Ontario",35015,"Burlington",35010,"Burlington"
"Ontario",35015,"Burlington",35030,"Halton"
"Ontario",35016,"Cambridge",35009,"Brant"
"Ontario",35016,"Cambridge",35011,"Cambridge"
"Ontario",35017,"Chatham-Kent--Leamington",35013,"Chatham-Kent - Essex"
"Ontario",35017,"Chatham-Kent--Leamington",35021,"Essex"
"Ontario",35017,"Chatham-Kent--Leamington",35046,"Lambton - Kent - Middlesex"
"Ontario",35018,"Davenport",35015,"Davenport"
