"DATE","TITLE","ACTIVITY"
"Jan 31, 2016 01:58","Candidates' Summary","FORTY-SECOND GENERAL ELECTION (October 19, 2015)"

SUMMARY_DATA
"Client_id","Name_of_candidate","Political_affiliation","Electoral_district","Name_of_official_agent","Number_of_contributors","Total_amount_of_contributions","Total_amount_of_loans","Total_amount_of_transfers_received","Total_amount_of_election_expenses_subject_to_limit","Election_expenses_limit","Total_of_candidates_personal_expenses","Other_expenses_and_Outflows","Name_of_auditor","Auditors_report_qualified"
"33123","Lamarche, Audrey","Green Party of Canada","Argenteuil--La Petite-Nation","Amy N/A Lamarche","3","840","0","0","839.35","213069.11","0","0","Campbell, Stacey","N"
"30801","Lang, Louis","Marxist-Leninist Party of Canada","Pontiac","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32578","Laplante, Natalie","Bloc Québécois","Pierrefonds--Dollard","Micheline Bergeron","0","0","0","3075.01","2860.59","223535.94","214.42","0","Doyon, Louis","N"
"30525","Le Seigle, Yves","Marxist-Leninist Party of Canada","Honoré-Mercier","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29686","Leclerc, Mario","Green Party of Canada","Longueuil--Charles-LeMoyne","Guylaine Demers","1","3025","","3000","6229.28","221291.91","249.34","12","Campbell, Stacey","N"
"29838","Leef, Ryan","Conservative Party of Canada","Yukon","Michael J Lauer","2","400","0","179983.8","179155.51","210779.3","1143.62","38459.77","Rozon, Gary Andrew","N"
"30882","Legeais, Christian","Marxist-Leninist Party of Canada","Ottawa--Vanier","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"33084","Lepone, Stephen","Libertarian Party of Canada","York South--Weston","Lori Lepone","1","202","","","202","203875.44","","","Edmonds, Ian","N"
"30386","Lin, Nick","Marxist-Leninist Party of Canada","Spadina--Fort York","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30731","MacDonald, Dougal","Marxist-Leninist Party of Canada","Edmonton Strathcona","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30929","MacKay, David","Marxist-Leninist Party of Canada","Abbotsford","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32813","MacKenzie, Alexander J.","Independent","Central Nova","Susan Jane Halfyard","","","","","","","","","Craig, Brian Crawford","N"
"32538","Macrisopoulos, Peter","Marxist-Leninist Party of Canada","Papineau","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32566","Malek, Arezki","Marxist-Leninist Party of Canada","Saint-Léonard--Saint-Michel","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32830","Malouin-Diraddo, Genevieve","Green Party of Canada","Glengarry--Prescott--Russell","Heather Anderson-Malouin","2","1158.66","0","0","156.86","223399.99","990.22","11.58","Campbell, Stacey","N"
"30223","Matthews, David","New Democratic Party","Simcoe--Grey","Paul J Fleming","25","2560","0","6559.91","5106.83","242062.43","1760","2663.08","Nayman, Bernard","N"
"32528","McCallum, John","Liberal Party of Canada","Markham--Thornhill","Pierre Bocti","1","7","0","119362.68","81558.04","203953.81","5830.6","17539.57","Campbell, Stacey","N"
"30056","McCarthy, Dan","New Democratic Party","Renfrew--Nipissing--Pembroke","Christopher J Tanner","25","14316.84","0","18563","29224.75","223209.96","2993","1278.74","Nayman, Bernard","N"
"29994","McCauley, Kelly","Conservative Party of Canada","Edmonton West","Dennis F Francis","89","19981","0","101000","106923.86","213830.45","311.89","6404.1","Rozon, Gary Andrew","N"
"30983","McFadzean, Robert George","Libertarian Party of Canada","Lakeland","Marit S McFadzean","2","4172.67","0","0","1653.97","242495.35","2518.7","0","Edmonds, Ian","N"
"30077","McFall, Mary Jean","Liberal Party of Canada","Leeds-Grenville-Thousand Islands and Rideau Lakes","Stephen Mazurek","264","48562.35","0","72894.96","112323.79","213643.31","149.83","6255.33","Mazurek, Marisha","N"
"32449","McKillop, Ember C.","Green Party of Canada","Kenora","McKillop J Timothy","2","275.75","0","400","552.95","227087.75","106.67","8","Campbell, Stacey","N"
"32706","Miscione, Melissa","Green Party of Canada","Saint-Léonard--Saint-Michel","Pietro PP Polifroni","0","0","0","150","19","209748.64","0","9.5","Campbell, Stacey","N"
"32682","Montgomery, Mike","Green Party of Canada","Sackville--Preston--Chezzetcook","Sonya L D'Arcy","1","409.93","0","1500","1127.68","201426.67","138","644.25","Campbell, Stacey","N"
"30713","Moreau, Claude","Marxist-Leninist Party of Canada","Beauport--Limoilou","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29881","Morrison, Skip","New Democratic Party","Sault Ste. Marie","Sheila J Aho","108","21840","0","49521.45","59576.6","198539.65","2491.65","9355.44","Nayman, Bernard","N"
"30263","Morse, David","Conservative Party of Canada","Kings--Hants","Kevin MacDonald","21","9330","0","73982.24","78555.76","200775.69","0","591.49","Morse, Brad","N"
"30632","Morton, Peggy","Marxist-Leninist Party of Canada","Edmonton West","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32889","Mulligan, Sean J.","Christian Heritage Party of Canada","Hull--Aylmer","Sheila M Dawson-Knight","24","6020","2302","0","5299.81","213352.22","243.27","4554.85","Campbell, Stacey","N"
"30228","Murray, Janice","Marxist-Leninist Party of Canada","Etobicoke--Lakeshore","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30331","Murray, Mike","Conservative Party of Canada","Pitt Meadows--Maple Ridge","Mark Bogdanovich","61","21780.32","0","0","105589.56","204873.5","880.05","1740.73","Rozon, Gary","N"
"30764","Naqvi, Ali","New Democratic Party","Mississauga East--Cooksville","Anwar Naqvi","49","20000","13000","11897.52","34143.24","217661.14","2228.33","17968.18","Nayman, Bernard","N"
"30494","Nugent, Christine","Marxist-Leninist Party of Canada","Humber River--Black Creek","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30462","Núñez Melo, José","Green Party of Canada","Vimy","Manon Trudeau","0","0","4500","37333.33","22013.37","224722.74","60","19871.2","Campbell, Stacey","N"
"30273","Obhrai, Deepak","Conservative Party of Canada","Calgary Forest Lawn","Kenneth H Walker","124","55951.42","0","47000","100352.9","207423.03","745.03","317.54","Verma, Veena","N"
"30772","O'Donnell, Dorothy-Jean","Marxist-Leninist Party of Canada","Chilliwack--Hope","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29792","Oliver, Joe","Conservative Party of Canada","Eglinton--Lawrence","Larry Babins","29","11595","0","186000","181796.3","210250.86","0","3337.17","Seto, Ben","N"
"30977","Paquette, Gilbert","Bloc Québécois","LaSalle--Émard--Verdun","Micheline Bergeron","1","5000","0","38866.95","46769.98","221667.78","0","96.97","Doyon, Louis","N"
"30742","Parker, Terry","Marijuana Party","Parkdale--High Park","Blair Longley","","","","","","","","","Rozon, Gary","N"
"32552","Peltier, Nicole","Green Party of Canada","Nipissing--Timiskaming","Wayne J Bieman","2","500","0","2800","2604.02","218149.29","0","0","Campbell, Stacey","N"
"30906","Petersen, Donna","Marxist-Leninist Party of Canada","Vancouver Kingsway","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29748","Plamondon, Louis","Bloc Québécois","Bécancour--Nicolet--Saurel","Jean-Guy Pelletier","0","0","0","137000","130431.63","213094.7","6133.22","172.23","St-Germain, Yvan","N"
"30191","Polifroni, Danny","Green Party of Canada","Papineau","Pietro PP Polifroni","0","0","0","213.71","82.71","213091.49","0","9.5","Campbell, Stacey","N"
"29706","Purcarus, Gabriel","Conservative Party of Canada","Alfred-Pellan","Lucia Craciun","7","1400","","8600","8181.47","212592.47","1756.96","11.08","Côté, Paul","N"
"32760","Quesnel, Simon","Bloc Québécois","Notre-Dame-de-Grâce--Westmount","Micheline Bergeron","0","0","0","2358.94","2358.94","214383.86","0","0","Doyon, Louis","N"
"32618","Reddy, Ed","Green Party of Canada","Calgary Skyview","Heather McRae","1","250","","700","682.5","206487.35","","118.31","Campbell, Stacey","N"
"29695","Richards, Blake","Conservative Party of Canada","Banff--Airdrie","William W. Stevenson","33","10032.5","0","80000","89381.15","243369.66","1801.22","728.13","Rozon, Gary Andrew","N"
"30978","Rivier, Marlene","New Democratic Party","Ottawa West--Nepean","Daniel J O'Hagan","54","13451","0","70000","48825.54","219678.06","0","34920.9","Nayman, Bernard","N"
"30651","Roman, Marvin","Marxist-Leninist Party of Canada","London North Centre","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30253","Romanado, Sherry","Liberal Party of Canada","Longueuil--Charles-LeMoyne","Claudine Ranger Morgan","5","2849","0","16000","26644.67","221291.91","853.16","115.65","Kobas, Nermin","N"
"30513","Royer, Geneviève","Marxist-Leninist Party of Canada","La Pointe-de-l'Île","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"33065","Russell, Joshua","Green Party of Canada","Markham--Thornhill","Peter F. O'Brien","","","","","","","","","Campbell, Stacey","N"
"30625","Rutchinski, Steve","Marxist-Leninist Party of Canada","University--Rosedale","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30232","Sach, Randall","Green Party of Canada","Beaches--East York","Robin Green","42","4588.4","0","4000","3691.94","208561.84","608.66","420","Campbell, Stacey","N"
"30792","Seed, Tony","Marxist-Leninist Party of Canada","Nepean","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32997","Shaw, Laura-Leah","Green Party of Canada","Steveston--Richmond East","Carrie McLaren","1","60.7","0","4500","1891.69","204726.35","0","1719.2","Campbell, Stacey","N"
"30923","Shaw, Matt","Liberal Party of Canada","Prince George--Peace River--Northern Rockies","Joanne Kathleen Shaw","","","","","4435.09","260780.28","3932.11","3039.44","Mau, Diana","N"
"30139","Shields, Martin","Conservative Party of Canada","Bow River","Norman Gerestein","30","12485.05","0","100000","81043.08","229883.88","4901.85","0","Rozon, Gary","N"
"29675","Shory, Devinder","Conservative Party of Canada","Calgary Skyview","MARY MARGARET BERGERON","88","91625","0","24850","109344.1","206487.35","2098.49","1521.75","Pullen, M.Jay","N"
"30122","Smith, Adam","Green Party of Canada","Winnipeg South","Erica Christie","6","845.45","0","127.34","837.96","198589.24","134.83","101","Campbell, Stacey","N"
"30660","Smith, Albert Gray","Marxist-Leninist Party of Canada","Parry Sound--Muskoka","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32685","Soublière, Pierre","Marxist-Leninist Party of Canada","Gatineau","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30738","Sproule, Brian","Marxist-Leninist Party of Canada","Burnaby North--Seymour","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30774","Starbuck, Dave","Marxist-Leninist Party of Canada","Nickel Belt","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
