Geo_Code,FED_Name,Under5000Pct,5000To9999Pct,10000To14999Pct,15000To19999Pct,20000To29999Pct,30000To39999Pct,40000To49999Pct,50000To59999Pct,60000To79999Pct,80000To99999Pct,100000To124999Pct,125000AndOverPct,MaleUnder5000Pct,Male5000To9999Pct,Male10000To14999Pct,Male15000To19999Pct,Male20000To29999Pct,Male30000To39999Pct,Male40000To49999Pct,Male50000To59999Pct,Male60000To79999Pct,Male80000To99999Pct,Male100000To124999Pct,Male125000AndOverPct,FemaleTotIncome2010Pop15YearsAndOver,FemaleUnder5000Pct,Female5000To9999Pct,Female10000To14999Pct,Female15000To19999Pct,Female20000To29999Pct,Female30000To39999Pct,Female40000To49999Pct,Female50000To59999Pct,Female60000To79999Pct,Female80000To99999Pct,Female100000To124999Pct,Female125000AndOverPct
46010,Selkirk--Interlake--Eastman,8.275,6.976,8.405,9.65,14.652,13.291,9.922,7.731,9.725,4.532,1.633,1.565,8.118,5.067,5.693,7.246,13.048,12.326,11.359,10.174,12.994,6.129,2.397,2.37,36755,8.434,8.87,11.128,12.039,16.243,14.229,8.489,5.305,6.475,2.938,0.871,0.762
46011,Winnipeg Centre,10.935,9.128,10.317,11.762,17.005,13.368,9.229,5.344,4.749,1.753,0.525,0.541,11.224,8.275,9.433,10.36,15.393,14.297,9.665,6.917,5.311,2.223,0.633,0.803,32360,10.646,9.981,11.218,13.149,18.619,12.438,8.761,3.77,4.203,1.282,0.402,0.263
46012,Winnipeg North,9.947,8.443,9.213,10.15,16.581,14.052,9.918,5.798,5.399,1.606,0.545,0.349,10.112,7.581,7.955,7.955,14.262,14.502,11.371,7.97,6.906,2.067,0.749,0.569,35445,9.776,9.254,10.396,12.202,18.747,13.613,8.534,3.738,3.992,1.171,0.339,0.127
46013,Winnipeg South,9.886,6.856,7.102,6.661,11.311,10.87,9.814,7.724,11.644,6.241,3.204,3.066,9.649,5.479,5.822,5.122,8.815,10.542,9.663,8.398,13.103,8.264,4.75,4.809,35555,10.111,8.156,8.311,8.114,13.655,11.166,9.97,7.088,10.266,4.345,1.73,1.406
46014,Winnipeg South Centre,8.074,6.475,7.022,7.318,13.681,12.023,10.036,7.884,10.529,5.278,3.304,4.745,8.352,5.309,5.642,5.823,12.215,11.562,9.936,8.31,11.354,6.212,4.238,7.365,39995,7.826,7.526,8.251,8.664,15.002,12.439,10.114,7.501,9.776,4.451,2.45,2.388
47001,Battlefords--Lloydminster,9.617,6.962,8.191,9.673,13.183,12.132,10.631,6.577,8.454,4.663,2.993,2.092,10.622,4.459,6.632,6.744,10.903,10.097,11.24,7.456,11.652,7.156,5.208,3.428,26595,8.592,9.475,9.757,12.596,15.454,14.157,10.002,5.678,5.264,2.162,0.771,0.733
47002,Cypress Hills--Grasslands,7.816,6.978,8.682,9.796,16.251,14.185,10.139,6.179,8.178,4.408,2.304,1.971,8.15,5.44,7.278,7.335,13.552,13.855,11.05,7.278,10.936,6.065,3.071,3.298,26140,7.479,8.531,10.099,12.261,18.975,14.518,9.22,5.05,5.394,2.735,1.53,0.65
47003,Desnethe--Missinippi--Churchill River,19.782,9.148,8.825,9.688,11.268,9.501,6.798,3.794,6.528,2.973,1.809,1.071,24.535,7.246,6.807,7.601,9.981,8.52,7.1,3.967,7.246,3.947,2.819,1.879,24150,15.072,11.056,10.849,11.76,12.547,10.476,6.501,3.623,5.818,2.008,0.807,0.29
47004,Carlton Trail--Eagle Creek,7.772,7.058,7.98,8.713,13.934,12.432,10.939,8.035,9.211,4.434,2.877,2.398,6.656,4.8,5.46,6.478,11.492,11.938,11.581,9.886,13.33,6.246,4.657,4.158,27245,8.901,9.378,10.589,11.011,16.443,12.938,10.277,6.13,4.992,2.588,1.064,0.587
47005,Moose Jaw--Lake Centre--Lanigan,8.55,6.904,7.96,9.066,13.611,12.538,10.794,7.182,9.36,4.504,3.014,2.498,7.456,4.382,5.314,7.031,11.249,12.966,11.936,8.829,12.443,5.984,4.954,3.891,30470,9.649,9.452,10.601,11.109,15.999,12.127,9.665,5.53,6.268,3.019,1.067,1.116
47006,Prince Albert,7.647,7.196,8.461,10.752,14.679,12.584,9.594,7.015,9.2,4.321,2.095,1.569,8.288,5.837,5.99,8.305,13.325,11.521,10.688,8.407,11.538,5.769,3.216,2.621,31490,7.034,8.463,10.781,13.036,15.942,13.56,8.574,5.716,7.018,2.985,1.048,0.587
47007,Regina--Lewvan,7.121,5.27,5.895,6.597,11.249,12.26,11.882,8.834,13.224,7.337,3.549,3.21,7.433,4.428,3.964,4.396,9.159,11.557,11.301,9.191,15.889,9.255,5.147,5.051,33525,6.831,6.04,7.681,8.65,13.214,12.931,12.424,8.516,10.738,5.548,2.058,1.491
47008,Regina--Qu'Appelle,9.105,6.54,7.597,10.691,14.084,13.317,9.616,7.262,8.814,4.054,2.327,1.683,9.986,4.472,6.088,8.818,11.566,13.524,9.788,8.19,11.207,5.46,3.772,2.748,28895,8.254,8.531,9.05,12.494,16.508,13.116,9.448,6.368,6.506,2.699,0.917,0.675
47009,Regina--Wascana,8.079,5.725,6.425,7.172,12.524,11.713,9.622,8.333,12.094,6.441,3.753,4.254,8.009,4.274,5.011,5.47,11.743,11.153,9.384,8.713,13.822,7.403,5.159,6.305,32350,8.145,7.094,7.774,8.794,13.277,12.226,9.83,7.991,10.448,5.533,2.427,2.334
47010,Saskatoon--Grasswood,7.462,6.016,7.005,7.612,12.963,12.465,10.13,8.169,11.06,5.767,3.548,3.964,7.346,4.394,4.845,5.679,10.507,10.785,10.611,9.066,13.581,7.642,5.488,6.478,31380,7.569,7.505,8.971,9.369,15.233,14.006,9.688,7.345,8.748,4.063,1.769,1.657
47011,Saskatoon--University,8.44,6.511,6.889,7.017,11.052,11.253,10.128,8.126,11.181,6.68,4.043,4.517,7.815,4.882,5.668,6.291,9.027,9.666,9.731,8.453,13.368,7.929,5.734,7.192,31685,9.042,8.08,8.048,7.701,13.019,12.782,10.51,7.811,9.058,5.46,2.414,1.941
47012,Saskatoon West,8.053,5.77,9.24,10.196,15.01,13.625,10.864,7.954,7.732,3.305,1.714,1.17,8.651,4.216,7.116,7.285,12.614,12.884,12.58,8.887,11.062,4.789,2.799,2.04,31005,7.483,7.257,11.256,12.982,17.32,14.353,9.208,7.063,4.548,1.855,0.677,0.355
47013,Souris--Moose Mountain,7.822,5.893,7.582,9.324,12.898,12.169,9.733,7.093,10.444,5.653,3.787,3.911,7.625,3.847,4.909,6.894,9.54,10.185,10.498,8.426,12.97,8.722,6.302,6.877,27530,8.028,8.046,10.371,11.86,16.418,14.239,8.918,5.721,7.828,2.452,1.144,0.817
47014,Yorkton--Melville,8.663,7.139,8.308,14.19,14.996,12.137,9.235,6.004,7.139,4.115,2.157,1.819,8.767,4.96,6.235,11.928,12.801,12.173,10.863,7.579,9.448,5.344,3.458,3.213,29085,8.544,9.3,10.332,16.435,17.139,12.102,7.616,4.452,4.865,2.888,0.894,0.43
48001,Banff--Airdrie,9.225,5.699,5.556,5.978,10.28,9.752,9.436,7.971,11.819,7.691,5.065,6.953,8.534,3.295,3.74,4.236,8.075,8.447,8.484,8.373,14.243,10.02,7.32,11.196,40175,9.932,8.102,7.38,7.729,12.495,11.052,10.38,7.567,9.384,5.339,2.788,2.688
48002,Battle River--Crowfoot,7.85,6.094,7.68,9.053,15.433,11.259,9.345,6.696,9.868,6.015,3.366,3.111,6.775,3.72,6.196,7.198,12.766,10.217,9.505,7.886,13.285,8.309,5.109,5.338,40890,8.939,8.486,9.195,10.932,18.134,12.301,9.171,5.478,6.407,3.705,1.59,0.856
48003,Bow River,9.107,6.285,7.34,6.924,12.84,10.241,9.859,7.775,10.386,6.693,3.667,3.924,8.512,3.273,5.084,5.343,10.272,9.638,10.608,9.625,13.622,8.37,5.511,6.455,37165,9.7,9.431,9.7,8.556,15.525,10.87,9.095,5.866,7.023,4.964,1.749,1.292
48004,Calgary Centre,8.476,4.658,6.255,7.36,11.643,10.057,8.682,7.582,10.797,6.662,4.436,9.845,8.461,3.652,5.541,5.943,10.122,9.203,8.698,8.017,11.669,7.284,4.922,13.506,46095,8.493,5.695,7.018,8.851,13.234,10.956,8.667,7.127,9.882,6.02,3.916,5.988
