Geo_Code,FED_Name,NoDiplomaPct,HighSchoolDiplomaOrEquivalentPct,PostsecondaryCertificateDiplomaOrDegreePct,ApprenticeshipOrTradesCertificateOrDiplomaPct,CollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,UniversityCertificateOrDiplomaBelowBachelorLevelPct,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,BachelorDegreePct,UniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,MaleNoDiplomaPct,MaleHighSchoolDiplomaOrEquivalentPct,MalePostsecondaryCertificateDiplomaOrDegreePct,MaleApprenticeshipOrTradesCertificateOrDiplomaPct,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,MaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,MaleBachelorDegreePct,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,FemaleNoDiplomaPct,FemaleHighSchoolDiplomaOrEquivalentPct,FemalePostsecondaryCertificateDiplomaOrDegreePct,FemaleApprenticeshipOrTradesCertificateOrDiplomaPct,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,FemaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,FemaleBachelorDegreePct,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct
35065,Newmarket--Aurora,15.446,26.704,57.855,6.472,21.649,4.487,25.247,16.858,8.389,15.65,26.441,57.897,9.323,19.363,4.286,24.937,15.948,8.989,15.256,26.944,57.799,3.833,23.763,4.662,25.541,17.698,7.844
35066,Niagara Centre,22.227,30.683,47.079,9.759,22.622,2.441,12.263,7.232,5.025,21.535,30.633,47.82,14.167,19.912,2.322,11.419,6.491,4.94,22.864,30.744,46.403,5.647,25.141,2.553,13.051,7.935,5.117
35067,Niagara Falls,20.355,31.358,48.291,9.56,21.647,3.323,13.756,8.518,5.237,20.377,29.061,50.562,13.608,19.83,3.448,13.686,8.293,5.392,20.335,33.5,46.173,5.804,23.342,3.207,13.821,8.728,5.093
35068,Niagara West,17.887,28.08,54.033,10.05,23.619,3.069,17.302,11.064,6.238,19.172,26.206,54.622,14.811,20.974,3.401,15.451,9.797,5.64,16.648,29.902,53.45,5.456,26.157,2.749,19.088,12.286,6.802
35069,Nickel Belt,22.69,25.413,51.897,12.907,25.152,2.201,11.636,7.595,4.048,22.569,24.926,52.505,19.472,22.152,1.535,9.359,5.898,3.447,22.793,25.878,51.303,6.423,28.112,2.872,13.883,9.255,4.641
35070,Nipissing--Timiskaming,21.636,26.331,52.04,9.927,25.689,2.026,14.397,9.007,5.391,22.323,27.112,50.551,13.808,22.187,1.483,13.073,7.672,5.401,20.968,25.587,53.445,6.258,29.006,2.542,15.652,10.258,5.381
35071,Northumberland--Peterborough South,19.112,30.184,50.709,10.108,24.259,2.613,13.73,8.942,4.788,20.446,29.256,50.299,14.852,20.331,2.022,13.083,8.305,4.767,17.838,31.056,51.095,5.585,28,3.176,14.345,9.549,4.796
35072,Oakville,12.212,23.453,64.335,4.864,18.814,5.564,35.098,21.808,13.285,12.154,22.055,65.791,6.248,16.907,5.191,37.445,21.959,15.476,12.266,24.738,62.996,3.586,20.564,5.908,32.958,21.662,11.286
35073,Oakville North--Burlington,10.961,21.363,67.682,4.221,20.648,5.315,37.504,23.927,13.571,11.357,20.741,67.902,5.823,18.876,5.582,37.632,23.075,14.569,10.578,21.933,67.477,2.723,22.316,5.053,37.385,24.736,12.649
35074,Oshawa,23.118,31.741,45.137,8.805,23.514,2.551,10.276,6.956,3.32,24.098,31.837,44.055,12.683,19.887,1.952,9.542,6.381,3.161,22.205,31.642,46.144,5.194,26.882,3.109,10.959,7.5,3.459
