Geo_Code,FED_Name,TotIncome2010Pop15YearsAndOver,Under5000,5000To9999,10000To14999,15000To19999,20000To29999,30000To39999,40000To49999,50000To59999,60000To79999,80000To99999,100000To124999,125000AndOver,MaleTotIncome2010Pop15YearsAndOver,MaleUnder5000,Male5000To9999,Male10000To14999,Male15000To19999,Male20000To29999,Male30000To39999,Male40000To49999,Male50000To59999,Male60000To79999 ,Male80000To99999,Male100000To124999,Male125000AndOver,FemaleTotIncome2010Pop15YearsAndOver,FemaleUnder5000,Female5000To9999,Female10000To14999,Female15000To19999,Female20000To29999,Female30000To39999,Female40000To49999,Female50000To59999,Female60000To79999,Female80000To99999,Female100000To124999,Female125000AndOver
24074,Vaudreuil--Soulanges,88270,6850,5525,6220,6655,10590,11410,10120,7440,9930,4165,2560,2660,43410,3185,1975,2315,2595,4445,5410,4785,4050,5915,3005,1940,2025,44860,3665,3550,3905,4065,6145,6000,5335,3395,4010,1160,615,630
24075,Terrebonne,84450,6080,5380,6705,7170,11290,11775,9335,7250,8640,3390,1495,1260,41675,2895,1750,2300,2675,4800,5485,4830,4250,5965,2465,1170,1020,42770,3185,3630,4405,4495,6485,6295,4505,3000,2675,930,320,240
24076,Trois-Rivieres,91285,6390,8055,11085,11260,14410,11950,8385,5340,6060,2460,1295,1255,43480,2855,3105,3920,4225,6735,6040,4470,3140,3815,1845,1015,1030,47800,3535,4950,7165,7030,7680,5905,3915,2205,2245,620,285,220
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,89700,14370,8245,8785,7505,9400,8000,5900,5110,6545,3565,2550,5085,45570,8010,3790,4190,3405,4265,3660,2900,2585,3565,2250,1545,3605,44125,6365,4450,4595,4090,5140,4340,3000,2525,2980,1310,1000,1480
24078,Vimy,85755,6885,6500,9720,9255,13685,11485,8350,5490,5840,2040,1080,930,40920,3515,2460,3790,3550,6330,5455,4460,3135,3475,1295,720,735,44840,3375,4040,5925,5705,7350,6025,3895,2355,2365,745,360,195
35001,Ajax,86545,9430,6085,6335,5550,8080,8545,8270,7145,9890,6055,2820,2515,41250,4645,2305,2390,1970,3430,3970,3735,3315,5420,3680,1820,1945,45290,4780,3780,3945,3580,4655,4570,4530,3830,4465,2375,1000,575
35002,Algoma--Manitoulin--Kapuskasing,67185,5770,5185,6635,6605,10420,8750,6375,4450,4985,2910,1255,775,33325,2830,1605,2540,2195,4650,4740,3795,2750,3465,1855,925,670,33860,2945,3575,4095,4405,5770,4005,2580,1700,1525,1055,335,100
35003,Aurora--Oak Ridges--Richmond Hill,82325,10270,5600,5840,5380,8015,6615,5860,5795,8390,6250,3380,5135,40030,4990,2125,2220,1905,3590,3020,2560,2650,4530,3545,2310,3925,42300,5290,3475,3620,3470,4425,3595,3300,3150,3860,2710,1070,1210
35004,Barrie--Innisfil,79230,7665,5520,6380,5465,9135,8840,7460,5640,8710,5155,2790,1895,38885,3280,1850,2185,1995,3755,3940,3650,3350,5675,3395,2150,1550,40345,4380,3670,4190,3465,5380,4905,3810,2285,3040,1755,640,350
35005,Barrie--Springwater--Oro-Medonte,80365,7580,5720,6640,6860,11810,8645,7695,5600,7220,4335,2190,2185,38950,3700,2135,2545,2450,4760,4000,3905,3335,4575,2670,1495,1760,41415,3880,3585,4095,4410,7050,4640,3785,2265,2645,1665,690,430
35006,Bay of Quinte,90770,7930,6340,8670,8095,15445,11540,8685,6250,7445,3570,1575,1330,43720,3310,2335,3385,2950,6400,5685,4655,3745,4985,2425,1185,980,47050,4620,4005,5285,5145,9040,5850,4025,2510,2465,1140,385,350
35007,Beaches--East York,87540,9535,5585,6815,7030,10225,7990,6900,6045,8710,5760,3435,5000,41585,4535,2400,2895,2945,4480,3740,3050,3035,4275,3030,1990,3295,45960,5005,3185,3925,4080,5745,4250,3850,3010,4440,2725,1445,1705
35008,Brampton Centre,83110,9075,5580,6835,6915,11445,10185,8685,6160,7015,3195,1165,785,40425,4275,1930,2330,2590,5265,5090,4585,3580,4595,2140,780,545,42685,4795,3650,4505,4325,6180,5095,4105,2580,2415,1055,385,230
35009,Brampton East,74655,9745,5345,6700,7020,9170,8115,6585,4430,5475,2815,1350,1270,36745,4630,2005,2735,3135,4485,3825,3360,2520,3525,1720,1025,980,37910,5115,3340,3965,3890,4680,4290,3220,1915,1955,1095,325,295
35010,Brampton North,88255,10195,6195,7175,6575,10915,9685,8430,6685,7810,4210,1970,1510,43435,5185,2450,2775,2835,5200,4295,4335,3550,4725,2715,1315,1080,44815,5015,3740,4400,3745,5715,5390,4100,3140,3090,1485,655,425
35011,Brampton South,85105,10035,6130,7240,7730,11885,10070,7995,5800,6625,2880,1440,1235,41275,4915,2280,2860,3080,5480,4790,4060,3355,4105,1755,945,870,43835,5120,3845,4380,4650,6405,5275,3940,2440,2520,1130,495,360
35012,Brampton West,75780,8480,5030,6045,5610,8495,7710,8405,6850,7475,3515,1550,765,36460,3720,1820,2450,2080,3875,3630,4025,3585,4810,2255,1215,515,39315,4765,3210,3595,3535,4620,4080,4385,3270,2665,1260,335,250
35013,Brantford--Brant,106025,9900,7220,8980,9030,16485,13365,11050,7410,8475,4905,1835,1760,50755,4560,2635,2980,3170,6970,6125,5980,4340,5595,3200,1325,1380,55270,5345,4590,6000,5860,9510,7240,5075,3070,2875,1705,510,380
35014,Bruce--Grey--Owen Sound,87595,7385,6365,7815,8745,14335,11055,9285,5970,6645,3280,1500,1700,43020,3765,2140,2735,3450,6310,5880,4975,3735,4035,2035,1090,1365,44575,3620,4230,5080,5300,8025,5175,4310,2230,2610,1245,410,335
35015,Burlington,101200,8470,6010,7165,6990,12705,11545,9590,7970,10785,7135,3905,5125,48075,3850,2100,2455,2160,4970,5315,4465,3895,6185,4545,2690,3970,53130,4620,3915,4715,4825,7735,6225,5130,4075,4600,2590,1220,1155
35016,Cambridge,89540,7845,6005,7600,6970,12795,11285,9965,6915,7690,4435,1730,1770,43730,3780,2185,2770,2365,5035,5300,5170,4255,5025,3020,1295,1395,45810,4065,3820,4825,4610,7755,5985,4795,2655,2665,1410,430,370
35017,Chatham-Kent--Leamington,88955,8155,6825,8495,8590,14580,11680,8630,5925,6655,3365,1285,1065,42950,3765,2410,3085,3100,6250,5740,5140,3890,4190,2040,945,850,46005,4390,4420,5410,5490,8330,5935,3490,2035,2470,1330,340,220
35018,Davenport,88490,9340,6780,8600,8930,14135,9470,7705,5445,7320,3340,1410,1465,43425,4565,2600,3830,3660,6380,5105,3960,3085,4585,1950,830,990,45070,4775,4180,4765,5270,7755,4370,3740,2360,2735,1390,580,475
35019,Don Valley East,76785,8570,5110,6165,7900,10395,7945,6945,5260,5750,3530,1995,1955,35405,4040,1870,2310,3315,4590,3775,3320,2590,2945,1905,1290,1235,41380,4535,3240,3850,4580,5805,4170,3630,2675,2800,1630,700,725
35020,Don Valley North,87550,12430,6165,7660,8125,10510,8440,7200,5110,6785,4240,2160,2690,40815,5915,2465,2965,3365,4525,4115,3410,2465,3430,2415,1320,1815,46735,6515,3700,4690,4760,5990,4325,3790,2645,3350,1825,840,875
35021,Don Valley West,80115,8725,4630,5375,5610,7845,6000,5225,4980,7480,4840,3655,11030,37480,3975,1670,2020,2180,3300,2660,2285,2365,3370,2280,2000,7320,42645,4755,2965,3355,3430,4550,3345,2935,2615,4110,2560,1655,3715
35022,Dufferin--Caledon,92335,8880,5965,6850,6780,10590,9110,8510,6940,9905,6850,3130,3895,45700,4105,2125,2380,2515,4560,4075,4055,3940,6285,4065,2325,2830,46630,4775,3840,4475,4265,6030,5035,4455,2995,3620,2780,805,1060
35023,Durham,91810,8485,6355,6240,6080,9595,9240,9275,7510,10585,6735,3505,3025,45160,3935,2150,2150,2215,4050,4055,4170,4260,6385,4420,2545,2580,46650,4550,4205,4085,3865,5545,5185,5110,3250,4200,2315,965,445
35024,Eglinton--Lawrence,90230,9190,5390,6290,7465,10930,8310,7085,5455,7020,4615,3480,9450,40715,4485,2090,2065,2725,4380,3290,3140,2440,3260,2280,1760,6315,49515,4700,3295,4220,4740,6555,5015,3940,3010,3760,2335,1720,3135
35025,Elgin--Middlesex--London,87510,8215,6100,7505,7495,12965,10345,8600,5895,7895,4840,1915,1465,42795,3985,2095,2570,2575,5675,5145,4560,3625,5150,3050,1475,1220,44720,4225,4005,4930,4920,7290,5190,4045,2270,2750,1795,435,245
35026,Essex,95650,8835,6135,7065,6335,11180,10510,9920,7695,10915,6360,2670,2675,47170,4090,2290,2320,2185,4280,5010,5475,4150,7005,4040,2015,2205,48480,4750,3840,4745,4150,6900,5500,4440,3550,3915,2315,655,470
35027,Etobicoke Centre,95880,9435,5850,7265,7765,12270,10115,8565,6390,9485,5735,3165,4965,44980,4855,2335,2835,2930,5075,4420,4035,3215,4855,2995,1950,3450,50905,4585,3515,4435,4835,7195,5695,4530,3175,4625,2735,1215,1510
35028,Etobicoke--Lakeshore,98790,8855,5535,7195,8280,12020,9395,9045,7315,10635,6410,3820,6105,47200,4515,2175,2700,3385,4920,4420,4625,3795,5200,3360,2355,4010,51590,4340,3360,4495,4895,7100,4980,4420,3525,5435,3050,1465,2095
35029,Etobicoke North,92525,11695,7010,8805,9940,14585,11215,8050,4990,5175,2370,815,550,44445,5975,2530,3655,3800,6725,5470,4215,3045,3445,1580,470,340,48085,5710,4485,5150,6135,7865,5745,3835,1945,1730,790,345,205
35030,Flamborough--Glanbrook,77590,6725,4795,5170,5400,9110,7945,7770,6585,9260,5825,2540,2590,38015,3220,1920,1865,1915,3670,3365,3830,3540,5830,3630,1855,1995,39565,3505,2875,3310,3480,5440,4590,3945,3040,3425,2195,690,595
35031,Glengarry--Prescott--Russell,85950,6800,5385,6875,7065,10495,9515,8895,7915,9610,5440,2285,1825,42770,3100,1930,2565,2940,4975,4825,4785,4460,5480,3200,1650,1405,43180,3700,3455,4315,4130,5520,4695,4105,3450,4125,2245,635,420
35032,Guelph,99060,8950,6660,7960,7505,12575,10750,11245,8145,9795,5695,2715,2680,47595,4055,2495,3085,2640,5115,4600,5640,4540,5770,3480,2050,2055,51470,4900,4165,4875,4860,7455,6155,5600,3605,4020,2215,665,625
35033,Haldimand--Norfolk,88180,7775,6490,7375,8010,12715,11595,8945,6225,7470,4300,1735,1395,43610,3660,2345,2695,2780,5300,5705,4845,4085,5035,2875,1395,1130,44570,4115,4145,4685,5230,7410,5890,4095,2145,2435,1425,335,260
35034,Haliburton--Kawartha Lakes--Brock,92480,7815,6655,8755,8375,14740,11320,9435,6350,7045,4420,2075,1570,45710,3725,2620,3260,3300,6385,5605,5095,3760,4605,2765,1515,1220,46765,4090,4030,5490,5070,8360,5715,4335,2595,2435,1655,560,355
35035,Hamilton Centre,82945,8740,6150,9910,9610,13745,8980,7170,4690,5170,2195,960,880,41235,4845,2625,4680,4000,6020,4355,3770,2720,3360,1325,550,600,41710,3890,3525,5230,5605,7730,4625,3405,1970,1805,865,415,275
35036,Hamilton East--Stoney Creek,89695,8530,6065,7860,8670,14380,11240,8520,6530,7005,3630,1235,1235,43005,4155,1965,2775,3065,6070,5300,4545,4175,4695,2240,960,1020,46685,4375,4100,5090,5605,8315,5940,3975,2350,2315,1385,275,215
35037,Hamilton Mountain,85495,8485,5980,7490,7385,12335,11155,9425,5685,6945,3645,1305,780,40595,4135,2040,2765,2715,5295,5070,4715,3315,4585,2250,975,640,44895,4345,3935,4730,4670,7040,6085,4710,2365,2355,1395,330,140
35038,Hamilton West--Ancaster--Dundas,88330,9155,5920,7000,5660,9855,8825,8165,6540,9385,6290,3125,4095,42350,4385,2210,2635,2255,3890,3970,3800,3250,5355,3340,2120,3130,45980,4765,3710,4360,3400,5965,4850,4370,3285,4030,2945,1005,965
35039,Hastings--Lennox and Addington,75765,7045,5215,7290,7300,11860,8890,8365,4980,6390,2860,1095,760,37300,3435,1680,2720,2830,5190,4765,4545,3055,4105,1810,855,580,38465,3610,3535,4570,4470,6665,4130,3820,1925,2285,1050,240,175
35040,Huron--Bruce,85775,7055,6025,7755,7535,12620,10580,8345,5785,7240,4150,2645,3025,42445,2960,2120,2570,2840,5850,5000,4470,3615,4770,2580,2120,2530,43330,4095,3900,5185,4695,6770,5575,3875,2175,2470,1570,520,495
35041,Kanata--Carleton,79095,7805,4625,4955,3895,6690,6560,7160,6610,10400,7425,4885,4485,38690,3470,1480,1920,1335,2580,2510,3170,3200,5640,4515,3685,3595,40400,4330,3145,3040,2565,4105,4055,3990,3405,4765,2915,1200,890
35042,Kenora,42845,3995,3120,3805,3585,5635,5050,4550,3145,3805,2285,1235,610,21400,2240,1310,1295,1450,2445,2115,2300,1880,2415,1470,1015,520,21450,1750,1815,2505,2135,3185,2935,2255,1265,1390,810,220,90
35043,King--Vaughan,84275,9075,5320,6165,5690,9290,7610,7695,6145,9115,5690,2880,3730,41300,4240,1850,2380,2200,4145,3420,3425,3265,5665,3445,1945,2720,42980,4830,3470,3780,3490,5145,4200,4270,2880,3445,2245,935,1015
35044,Kingston and the Islands,96125,8770,6360,8465,8180,13200,10645,9885,7130,9220,5125,2790,2790,45315,4170,2605,3235,3075,5430,4615,4900,3795,5150,2975,1875,2015,50810,4600,3755,5230,5110,7770,6030,4985,3340,4070,2150,910,775
35045,Kitchener Centre,85435,7145,5300,7510,8290,13110,11455,8640,6465,7425,3375,1490,1425,41735,3675,1740,2920,3055,6010,5555,4430,3815,4795,2085,995,995,43700,3470,3555,4590,5235,7100,5895,4210,2655,2625,1290,495,430
35046,Kitchener--Conestoga,72005,6125,4525,5205,4790,8965,8340,7825,6505,7960,4905,2070,1940,35390,2660,1505,1780,1775,3670,3585,3750,3840,5125,3320,1590,1535,36615,3465,3015,3420,3020,5295,4755,4075,2665,2835,1585,485,400
35047,Kitchener South--Hespeler,77330,6965,4995,5540,5535,9820,9135,8810,6215,7920,4360,1970,2000,38075,3290,1800,1930,2000,4175,4195,4420,3575,5120,2820,1395,1610,39255,3675,3190,3610,3535,5645,4945,4385,2635,2805,1540,575,385
35048,Lambton--Kent--Middlesex,84980,8455,6085,7280,7645,12760,10140,8375,5805,7235,3810,1915,1400,42150,4040,2110,2795,3000,5355,5290,4290,3615,4880,2380,1490,1085,42825,4415,3980,4480,4650,7405,4850,4080,2185,2350,1435,425,325
35049,Lanark--Frontenac--Kingston,81080,6495,4895,6840,6525,11090,9930,8925,6560,8360,4435,2290,1380,39720,3160,1760,2590,2790,4845,4615,4625,3755,4850,2565,1675,1045,41360,3335,3130,4250,3735,6245,5315,4295,2800,3500,1875,615,335
35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,82765,6605,5810,6920,7285,12090,10890,8710,6325,7575,3760,1955,1415,40260,3270,1985,2530,2600,5275,5275,4495,3715,5055,2310,1245,1055,42505,3335,3820,4385,4685,6815,5615,4220,2605,2520,1455,710,365
35051,London--Fanshawe,96455,9895,6830,8915,8790,14665,12295,10265,7135,7250,3165,1185,600,46570,4925,2695,3310,3455,6150,5695,5490,4130,4645,2105,890,460,49890,4965,4135,5605,5330,8515,6595,4775,3010,2605,1060,295,140
35052,London North Centre,99580,10005,7755,8830,8965,14510,10790,9145,6265,7995,5015,2815,2975,47910,5165,3170,3820,3710,6590,4780,4365,2955,4410,2870,1825,2280,51665,4840,4585,5010,5255,7920,6015,4785,3310,3590,2140,990,695
35053,London West,97830,9285,6470,7285,7540,12610,10495,9650,7170,10240,6475,3100,2760,45915,4355,2410,2975,2820,5175,4525,4655,3765,5460,3520,2005,2015,51915,4930,4060,4310,4720,7435,5965,4990,3400,4780,2955,1095,740
35054,Markham--Stouffville,86695,9155,5390,5970,6155,9095,8330,7930,6640,9390,6485,3420,4045,41860,4625,1855,2290,2315,3805,3610,3425,3375,5190,3810,2470,3035,44835,4530,3530,3680,3845,5290,4720,4505,3270,4205,2670,955,1010
35055,Markham--Thornhill,86005,12645,6850,8675,8280,10465,8315,6065,4700,5945,3475,1770,2325,42310,6485,2785,3685,3830,5080,4065,2980,2445,3170,2070,1090,1695,43690,6160,4065,4995,4450,5385,4250,3090,2255,2770,1405,675,630
35056,Markham--Unionville,85280,12705,6470,6830,6835,8245,7165,5775,4765,7315,5490,3260,4280,41000,5940,2555,2780,2870,3835,3195,2540,2310,3920,3065,2210,3075,44280,6765,3920,4050,3965,4405,3970,3230,2450,3400,2425,1050,1210
35057,Milton,65620,5980,3980,3915,3215,6390,6430,6745,6090,8970,5380,2615,2955,32105,2630,1420,1250,1275,2295,2710,2870,3180,5185,3695,1975,2300,33520,3355,2555,2665,1935,4090,3715,3870,2910,3785,1685,635,655
35058,Mississauga Centre,99120,13035,6965,8355,8465,11405,9790,9510,7410,8460,4525,2210,1850,48030,6135,2590,3350,3645,5065,4670,4820,3940,5095,2740,1445,1380,51095,6900,4370,5010,4815,6340,5120,4690,3465,3360,1785,765,470
35059,Mississauga East--Cooksville,100820,11355,6925,8820,9220,14325,11905,9780,6700,7520,4215,1810,1415,48500,5420,2465,3350,4060,6165,5995,5180,3665,4495,2615,1215,1070,52320,5935,4465,5475,5160,8160,5915,4600,3040,3030,1605,595,350
35060,Mississauga--Erin Mills,93695,12060,6750,6840,6505,9575,8635,7580,6760,9105,5975,3390,3530,45185,5600,2755,2670,2685,4250,3880,3360,3160,5190,3560,2260,2720,48505,6460,3990,4170,3820,5320,4755,4215,3600,3915,2420,1130,820
35061,Mississauga--Lakeshore,98160,10710,6320,7415,7235,11460,9525,8505,6875,9075,6185,3375,6405,47695,5335,2405,3055,2590,4990,4805,3890,3405,5165,3155,2195,4580,50465,5370,3920,4365,4650,6470,4725,4610,3465,3910,3030,1180,1830
35062,Mississauga--Malton,92840,12655,6805,7820,8310,11910,10140,8395,5805,6670,3830,1625,1360,45335,5830,2670,3080,3665,5525,4910,4280,3145,4185,2465,1225,1045,47505,6825,4130,4735,4640,6385,5230,4115,2660,2485,1360,400,320
35063,Mississauga--Streetsville,95365,11360,6460,6435,6220,9180,8955,9250,7510,9810,6515,3475,3440,46450,5270,2375,2665,2500,3830,4070,4340,3575,5600,4030,2300,2595,48915,6090,4080,3770,3715,5350,4885,4910,3940,4210,2480,1175,840
35064,Nepean,82015,7545,4800,5015,4555,7275,7175,7515,7450,11405,7475,4315,3440,39900,3465,2100,1895,1600,2880,2830,3380,3745,6215,4205,3125,2745,42120,4080,2695,3120,2955,4395,4345,4140,3710,5195,3270,1185,690
35065,Newmarket--Aurora,87145,8655,5615,6340,5825,9580,8140,7720,6195,10070,7275,3790,3740,41880,4025,2200,2370,2080,3650,3430,3325,3200,5750,4130,2835,2960,45260,4630,3420,3965,3750,5935,4710,4395,3000,4320,3145,955,775
35066,Niagara Centre,87455,7090,6275,7925,8175,13945,11620,9425,5955,6550,3475,1730,1140,42210,3490,2190,2760,2615,5535,5925,5130,3890,4500,2100,1340,905,45245,3605,4085,5170,5565,8415,5700,4290,2065,2050,1375,390,235
35067,Niagara Falls,106065,9115,7920,10115,10315,17030,13345,10805,7085,7880,4425,2030,1740,51185,4460,3085,3645,4140,6610,6210,6055,4385,5085,2790,1545,1425,54885,4655,4835,6470,6175,10420,7135,4745,2695,2795,1640,490,315
35068,Niagara West,70055,6050,5155,5410,5040,9160,7475,6755,5470,7510,4535,2360,2235,34395,2830,1955,1700,1785,3655,3400,3450,3100,4950,2915,1765,1800,35655,3220,3205,3705,3260,5505,4075,3305,2365,2565,1620,595,435
35069,Nickel Belt,74725,6240,5290,6040,5395,9235,9130,8315,6275,7555,3780,2080,1450,37125,2530,1725,2125,1735,3720,4770,4775,3970,4970,2380,1770,1170,37600,3705,3570,3920,3660,5510,4360,3540,2310,2580,1400,310,280
35070,Nipissing--Timiskaming,75505,5945,5760,7160,7140,11265,8845,7700,5515,6890,3500,1565,1150,36750,2720,2235,2645,2795,4940,4100,4260,3280,4375,2120,1165,960,38750,3225,3530,4515,4345,6330,4745,3440,2235,2505,1375,405,185
35071,Northumberland--Peterborough South,89185,8175,6055,7875,7020,13045,11090,9025,6160,8390,4455,2120,1925,43530,3725,2095,2965,2555,5110,5275,4815,3680,5595,2955,1565,1530,45660,4450,3965,4915,4465,7940,5815,4215,2480,2795,1495,555,390
35072,Oakville,97850,10750,6285,7025,6200,9880,8400,7075,6175,9360,7110,4850,9950,46815,4795,2365,2675,2175,3650,3800,3190,2835,4710,3985,3165,7445,51035,5960,3925,4350,4020,6225,4600,3880,3335,4645,3125,1685,2505
35073,Oakville North--Burlington,85995,9080,5320,5200,4390,6630,6960,7230,6715,9825,7900,5080,7055,41560,4265,1710,1835,1650,2455,2845,2880,3145,5250,4300,3690,5600,44430,4810,3610,3370,2745,4175,4110,4350,3565,4575,3600,1390,1455
35074,Oshawa,104660,9810,6930,9590,8180,13740,13260,10850,8005,9250,5025,2410,1525,50460,5010,2505,3490,2855,5510,6640,5580,4410,5555,3175,1745,1165,54200,4800,4425,6100,5330,8230,6625,5280,3595,3695,1845,665,365
35075,Ottawa Centre,96325,7855,5720,8145,7110,9555,8355,7850,7600,11485,8195,5040,6355,46805,4035,2595,3820,2970,4220,3800,3535,3285,5455,4400,3070,4265,49520,3820,3130,4325,4135,5335,4555,4315,4320,6035,3795,1975,2085
35076,Orleans,96460,8375,5855,5630,4945,7635,7790,8680,9640,13855,9520,5210,4615,46435,3825,1985,2190,1955,3090,3260,3745,4490,7110,5335,3715,3685,50025,4550,3870,3445,2990,4545,4530,4935,5150,6745,4180,1495,930
35077,Ottawa South,100185,10045,6700,8195,7565,11815,9410,8650,7625,10185,7250,3880,3585,47705,5105,2615,3315,2640,4995,4455,4095,3550,5615,4040,2460,2500,52480,4940,4090,4875,4925,6820,4955,4550,4070,4575,3205,1420,1085
35078,Ottawa--Vanier,93370,7380,6480,8545,8060,11245,9400,8665,7735,9305,5665,3055,3615,44200,3610,2765,3695,3105,4780,4540,4105,3720,4615,2925,1945,2430,49170,3765,3715,4850,4950,6470,4860,4565,4020,4690,2740,1105,1185
35079,Ottawa West--Nepean,93265,8645,5555,7695,8100,10945,9830,8595,7330,9610,6375,3335,3055,44185,4530,2205,3060,3240,4525,4520,3730,3605,5135,3470,2175,2135,49080,4110,3345,4635,4865,6420,5310,4870,3725,4480,2900,1155,915
35080,Oxford,87265,7110,6475,6970,7555,12315,10675,9970,6960,7950,4435,1730,1405,42870,3330,2275,2290,2585,4970,5340,5550,4345,5230,2870,1360,1100,44390,3785,4200,4685,4970,7350,5335,4420,2615,2720,1570,365,305
35081,Parkdale--High Park,86990,8545,5315,6990,7965,10900,8460,6800,5565,8155,5920,3515,5155,41420,4340,2225,3065,3225,4825,4090,3040,2635,4080,2970,2100,3380,45570,4205,3090,3925,4740,6075,4370,3760,2930,4070,2950,1415,1780
35082,Parry Sound--Muskoka,76500,6725,5385,7190,7875,12560,9640,8115,5070,5935,3265,1100,1200,37735,3485,2055,2510,3330,5565,4540,4665,3155,3830,2040,740,885,38770,3240,3330,4680,4540,6995,5100,3460,1920,2110,1225,360,320
35083,Perth--Wellington,82630,6420,5480,7320,6835,12425,11385,9555,7200,7395,3550,1240,1280,40505,2975,1870,2290,2880,5400,5555,5200,4380,4775,2315,850,1035,42125,3445,3610,5030,3955,7020,5835,4360,2815,2625,1235,390,245
35084,Peterborough--Kawartha,96335,8485,6970,9210,8465,15025,11970,9475,6610,7910,4225,1650,1880,46030,4015,3020,3145,3090,6475,5870,4870,3865,4670,2550,1170,1370,50300,4475,3950,6065,5370,8550,6100,4605,2740,3245,1680,480,510
35085,Pickering--Uxbridge,89635,9760,5995,6005,6020,9685,8675,7670,6970,9510,6275,3475,4130,43275,4740,2280,2495,2220,3935,4040,3420,3320,5340,3455,2370,3005,46360,5015,3710,3510,3805,5745,4635,4245,3650,4165,2820,1105,1130
35086,Renfrew--Nipissing--Pembroke,83765,6930,5885,7740,7810,11970,10160,8345,6480,8745,3565,1620,1150,41535,2870,1730,2865,2915,5320,4870,4465,4280,6175,2520,1265,840,42230,4065,4150,4875,4895,6650,5290,3880,2195,2565,1050,355,310
35087,Richmond Hill,92225,11700,6680,7935,7870,10360,8020,7325,5955,8295,5510,2985,3940,44060,5855,2740,2990,3240,4240,3635,3225,3025,4465,3010,2085,3060,48170,5850,3940,4950,4630,6120,4390,4095,2935,3830,2500,900,880
35088,Carleton,69705,6330,3810,3860,3390,5600,5740,6250,5630,9645,7200,4655,4545,34470,2855,1360,1400,1305,2065,2275,2910,2650,5205,4175,3220,3590,35235,3475,2445,2465,2090,3535,3465,3340,2980,4445,3025,1435,955
35089,St. Catharines,92820,8180,6115,9375,9230,15185,11570,9760,5970,6795,3595,1750,1480,43795,3880,2275,3330,3265,5975,5530,5235,3600,4205,2225,1340,1225,49030,4300,3835,6045,5965,9205,6040,4525,2370,2600,1370,410,255
35090,Toronto--St. Paul's,89620,8375,4790,6345,7070,10180,8725,6960,6255,9385,5635,3865,8705,40490,4035,1885,2670,2705,4225,3850,2815,2720,4230,2680,1920,5465,49135,4340,2905,3670,4360,5955,4875,4140,3535,5150,2955,1940,3240
35091,Sarnia--Lambton,87975,8135,6640,7815,7015,11815,9475,8030,5625,7845,5130,2950,2970,42620,3810,2285,2455,2385,4165,4135,4345,3345,5290,3580,2320,2605,45360,4325,4355,5360,4625,7645,5340,3685,2285,2550,1550,625,360
35092,Sault Ste. Marie,68900,5530,4670,6715,5910,10125,8855,6725,4600,6830,3620,1270,990,33100,2590,1415,2465,1935,3900,4600,3495,2660,4605,2290,955,750,35805,2945,3250,4245,3970,6225,4255,3230,1940,2225,1335,310,245
35093,Scarborough--Agincourt,88575,13425,7010,8760,10735,13210,8355,6760,4515,5135,2500,1085,890,41555,6705,2555,3380,4775,5910,4135,3355,2235,2935,1370,785,690,47015,6720,4455,5380,5965,7305,4215,3405,2275,2195,1135,300,200
35094,Scarborough Centre,88515,10575,6670,8510,9205,13645,10530,8510,5355,5480,2390,1105,645,41745,5105,2420,3455,3710,6170,5110,4130,3000,3470,1305,720,495,46760,5470,4245,5055,5500,7470,5420,4380,2350,2010,1085,385,150
35095,Scarborough--Guildwood,81470,10130,6320,8280,8475,11950,8925,6735,4625,5150,2290,1200,1010,38610,5365,2395,3270,3135,5445,4070,3550,2645,2940,1360,730,725,42855,4765,3925,5010,5340,6505,4855,3185,1975,2210,925,470,280
35096,Scarborough North,83525,12120,6905,8810,10145,11545,8545,6705,4030,4580,2250,950,625,40110,5880,2780,3535,4550,5265,4350,3535,2295,2685,1240,655,435,43410,6240,4130,5275,5595,6275,4195,3165,1735,1895,1010,305,190
35097,Scarborough--Rouge Park,84170,10665,6050,7285,7150,10505,8740,7960,5740,6395,4220,2145,1585,40055,5545,2510,2940,3000,4585,3995,3900,2890,3340,2350,1375,1105,44120,5125,3540,4340,4150,5915,4745,4065,2850,3060,1870,770,475
35098,Scarborough Southwest,86235,10140,6820,8685,8320,11510,9230,7465,5265,6420,3160,1445,1660,41220,5435,2645,3835,3165,5125,4375,3725,3015,3395,1555,885,1075,45015,4705,4175,4845,5160,6385,4855,3740,2255,3030,1610,565,585
35099,Simcoe--Grey,95215,7855,6150,7835,7990,13495,11030,9205,7485,10335,5045,2435,2190,46740,3725,1980,2975,2975,5485,5230,4585,4165,6870,3415,1755,1810,48470,4125,4170,4855,5015,8010,5795,4615,3320,3470,1630,675,380
35100,Simcoe North,90320,7835,6425,7945,8515,14345,11375,8820,6555,7075,3880,1710,1480,43670,3885,2380,2810,3090,6575,5455,4510,3950,4435,2270,1185,1070,46645,3950,4045,5135,5430,7770,5915,4310,2600,2645,1610,530,410
35101,Spadina--Fort York,75760,7630,3880,4825,4825,7455,6110,6915,6370,10085,6235,3710,5235,37680,3900,1655,1940,1970,3400,2900,3310,2880,5280,3570,2140,3780,38085,3735,2225,2890,2855,4050,3210,3600,3495,4800,2670,1575,1455
