Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver,Under25YearsPct,25To34YearsPct,35To44YearsPct,45To54YearsPct,55To64YearsPct,65To74YearsPct,75AndOverPct
24004,Alfred-Pellan,36835,645,4145,6665,9600,7005,5025,3750,1.751,11.253,18.094,26.062,19.017,13.642,10.181
24005,Argenteuil--La Petite-Nation,40690,1215,4725,6295,9575,8980,6040,3860,2.986,11.612,15.471,23.532,22.069,14.844,9.486
24006,Avignon--La Mitis--Matane--Matapedia,33195,765,3575,4330,7370,7995,5160,3990,2.305,10.770,13.044,22.202,24.085,15.545,12.020
24007,Beauce,44425,1375,6940,6915,9825,9200,5655,4510,3.095,15.622,15.566,22.116,20.709,12.729,10.152
24008,Beauport--Limoilou,46715,2285,8160,6450,9330,9095,6120,5280,4.891,17.468,13.807,19.972,19.469,13.101,11.303
24009,Becancour--Nicolet--Saurel,41710,1030,4930,5745,8875,9685,6920,4520,2.469,11.820,13.774,21.278,23.220,16.591,10.837
24010,Bellechasse--Les Etchemins--Levis,48990,1570,7055,7085,10815,10440,7090,4935,3.205,14.401,14.462,22.076,21.310,14.472,10.073
24011,Beloeil--Chambly,43175,895,6905,8530,10255,8340,5260,2990,2.073,15.993,19.757,23.752,19.317,12.183,6.925
24012,Berthier--Maskinonge,42260,845,4885,6205,10010,9430,6825,4055,2.000,11.559,14.683,23.687,22.314,16.150,9.595
24013,Therese-De Blainville,38020,1210,5060,8215,10290,6655,4195,2400,3.183,13.309,21.607,27.065,17.504,11.034,6.312
24014,Pierre-Boucher--Les Patriotes--Vercheres,37360,790,4760,6795,9385,7755,5270,2610,2.115,12.741,18.188,25.120,20.757,14.106,6.986
24015,Bourassa,43110,1495,5560,7930,8630,7655,5620,6225,3.468,12.897,18.395,20.019,17.757,13.036,14.440
24016,Brome--Missisquoi,43830,1085,4720,6315,9190,10370,7355,4805,2.475,10.769,14.408,20.967,23.660,16.781,10.963
24017,Brossard--Saint-Lambert,40990,845,5105,6955,8510,8440,6190,4935,2.061,12.454,16.968,20.761,20.590,15.101,12.040
24018,Rimouski-Neigette--Temiscouata--Les Basques,37940,1565,4480,4915,8310,8900,5790,3995,4.125,11.808,12.955,21.903,23.458,15.261,10.530
24019,Charlesbourg--Haute-Saint-Charles,45490,1455,7150,7590,9480,8680,6465,4665,3.199,15.718,16.685,20.840,19.081,14.212,10.255
24020,Beauport--Cote-de-Beaupre--ile d'Orleans--Charlevoix,38355,675,4640,5885,9095,8470,5820,3770,1.760,12.098,15.344,23.713,22.083,15.174,9.829
24021,Chateauguay--Lacolle,35805,850,5045,6140,8585,6710,4925,3555,2.374,14.090,17.148,23.977,18.740,13.755,9.929
24022,Chicoutimi--Le Fjord,36535,1470,4995,4540,8185,7815,5150,4380,4.024,13.672,12.426,22.403,21.390,14.096,11.989
24023,Compton--Stanstead,41590,1190,6115,7240,9270,8750,5500,3525,2.861,14.703,17.408,22.289,21.039,13.224,8.476
24024,Dorval--Lachine--LaSalle,46685,1350,6735,8910,10155,8665,5895,4970,2.892,14.426,19.085,21.752,18.561,12.627,10.646
24025,Drummond,42975,1715,6860,6820,9135,8765,5750,3935,3.991,15.963,15.870,21.257,20.396,13.380,9.156
24026,Gaspesie--Les iles-de-la-Madeleine,34360,545,2800,4630,7950,8520,5780,4135,1.586,8.149,13.475,23.137,24.796,16.822,12.034
24027,Gatineau,44185,1760,6805,7850,11315,8300,4855,3305,3.983,15.401,17.766,25.608,18.785,10.988,7.480
24028,Hochelaga,53380,3140,11530,8970,10000,8685,5515,5540,5.882,21.600,16.804,18.734,16.270,10.332,10.378
24029,Honore-Mercier,41655,815,4435,7475,9010,7790,6050,6075,1.957,10.647,17.945,21.630,18.701,14.524,14.584
24030,Hull--Aylmer,46985,2450,8425,8595,10540,8725,4620,3625,5.214,17.931,18.293,22.433,18.570,9.833,7.715
24031,Joliette,44955,1335,5280,6150,9995,10105,7220,4865,2.970,11.745,13.680,22.233,22.478,16.061,10.822
24032,Jonquiere,37575,1220,5470,5235,8675,8445,5270,3260,3.247,14.558,13.932,23.087,22.475,14.025,8.676
24033,La Pointe-de-l'ile,46665,1715,6485,7370,10965,9490,5785,4850,3.675,13.897,15.793,23.497,20.336,12.397,10.393
24034,La Prairie,37735,780,5565,8660,10120,6790,4010,1800,2.067,14.748,22.950,26.819,17.994,10.627,4.770
24035,Lac-Saint-Jean,45165,1320,6055,6105,10560,10175,6525,4435,2.923,13.406,13.517,23.381,22.529,14.447,9.820
24036,Lac-Saint-Louis,38895,575,2870,7010,10780,8185,5135,4330,1.478,7.379,18.023,27.716,21.044,13.202,11.133
24037,LaSalle--emard--Verdun,51000,2140,9695,8960,9935,8975,5945,5360,4.196,19.010,17.569,19.480,17.598,11.657,10.510
24038,Laurentides--Labelle,51880,1140,5150,6890,11535,13085,8890,5190,2.197,9.927,13.281,22.234,25.222,17.136,10.004
24039,Laurier--Sainte-Marie,61615,5130,18345,11495,10275,8310,4540,3505,8.326,29.774,18.656,16.676,13.487,7.368,5.689
24040,Laval--Les iles,37710,735,4465,7970,9345,6455,4815,3925,1.949,11.840,21.135,24.781,17.117,12.768,10.408
24041,Longueuil--Charles-LeMoyne,47100,2060,7420,7725,10160,9260,6390,4090,4.374,15.754,16.401,21.571,19.660,13.567,8.684
24042,Levis--Lotbiniere,42155,1080,6855,8225,9995,8880,4805,2315,2.562,16.261,19.511,23.710,21.065,11.398,5.492
24043,Longueuil--Saint-Hubert,46330,1590,6755,7380,10475,9390,6475,4275,3.432,14.580,15.929,22.610,20.268,13.976,9.227
24044,Louis-Hebert,48945,4310,6195,5430,8895,10310,7180,6620,8.806,12.657,11.094,18.173,21.064,14.670,13.525
24045,Louis-Saint-Laurent,45965,1575,7860,8200,10475,8495,5815,3540,3.427,17.100,17.840,22.789,18.481,12.651,7.702
24046,Manicouagan,39785,1380,5335,6565,9500,8445,5125,3430,3.469,13.410,16.501,23.878,21.227,12.882,8.621
24047,Megantic--L'erable,39025,980,4490,5275,8195,8990,6355,4740,2.511,11.505,13.517,20.999,23.037,16.284,12.146
24048,Mirabel,38830,1155,7470,9060,9365,6375,3630,1765,2.975,19.238,23.332,24.118,16.418,9.348,4.545
24049,Montarville,35585,500,4190,7885,9500,6865,4425,2215,1.405,11.775,22.158,26.697,19.292,12.435,6.225
24050,Montcalm,38610,1205,6625,7755,9520,7150,4380,1975,3.121,17.159,20.085,24.657,18.519,11.344,5.115
