Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver
47001,Battlefords--Lloydminster,26500,1540,4415,4295,5650,4515,3090,3005
47002,Cypress Hills--Grasslands,27515,905,3295,3715,5995,5395,3585,4620
47003,Desnethe--Missinippi--Churchill River,20725,995,3300,4240,4475,3755,2375,1580
47004,Carlton Trail--Eagle Creek,27155,820,4215,4725,6105,4915,3215,3170
47005,Moose Jaw--Lake Centre--Lanigan,31905,1075,4325,4370,6640,6670,3995,4835
47006,Prince Albert,30765,1245,4190,4800,6275,5610,4120,4535
47007,Regina--Lewvan,32375,1325,5865,5615,7175,6140,3190,3060
47008,Regina--Qu'Appelle,28655,1090,4540,5015,6205,5065,3235,3510
47009,Regina--Wascana,32255,1825,5740,5180,6755,5640,3250,3860
47010,Saskatoon--Grasswood,30255,2075,5115,4605,6195,4955,3085,4230
47011,Saskatoon--University,30545,2815,6010,5185,6250,4940,2625,2725
47012,Saskatoon West,31105,1820,6085,5820,6615,5065,2945,2750
47013,Souris--Moose Mountain,29055,1545,4385,4600,5715,5460,3195,4150
47014,Yorkton--Melville,30760,845,3515,3875,5810,6090,4865,5755
48001,Banff--Airdrie,37325,1110,6740,8610,8950,6985,3150,1775
48002,Battle River--Crowfoot,41765,1445,5635,6590,9520,8215,5420,4940
48003,Bow River,35115,1010,5880,7450,8285,6290,3665,2550
48004,Calgary Centre,58415,3955,18105,11210,10035,7400,3540,4175
48005,Calgary Confederation,51525,3360,11565,8935,10375,8005,4100,5180
48006,Calgary Forest Lawn,38080,1600,6135,7345,9895,6860,3895,2350
48007,Calgary Heritage,42270,1540,6775,8320,10115,7595,4365,3560
48008,Calgary Midnapore,41215,1130,5840,8460,10450,7770,4245,3315
48009,Calgary Nose Hill,38525,915,5705,8320,10320,7625,3195,2455
48010,Calgary Rocky Ridge,37655,740,6925,9675,9280,6380,2700,1955
48011,Calgary Shepard,40230,1090,9345,10185,9895,5940,2560,1215
48012,Calgary Signal Hill,42455,1470,6880,9710,10320,7125,3425,3520
48013,Calgary Skyview,33055,845,7295,9385,7990,4935,1845,760
48014,Edmonton Centre,53785,4675,13415,8690,9930,8280,4225,4570
48015,Edmonton Griesbach,44060,2185,6925,7940,9940,6950,4760,5355
48016,Edmonton Manning,38070,1940,7415,7595,8845,6725,3400,2160
48017,Edmonton Mill Woods,35415,1240,6790,7825,8250,6670,2925,1710
48018,Edmonton Riverbend,39850,1490,7340,7990,8760,6900,4165,3200
48019,Edmonton Strathcona,48145,4835,11210,7460,8735,7215,3790,4895
48020,Edmonton West,39895,1690,7400,7710,9025,7315,3710,3045
48021,Edmonton--Wetaskiwin,41000,1505,8685,8830,8610,6730,3680,2960
48022,Foothills,38875,705,4310,7090,9760,8400,5230,3390
48023,Fort McMurray--Cold Lake,35830,2280,9340,8165,8780,4850,1510,900
48024,Grande Prairie--Mackenzie,39595,2755,9280,7960,8695,5855,3110,1935
48025,Lakeland,39875,1600,5775,7135,8755,7425,4815,4375
48026,Lethbridge,41555,2730,7445,6635,8505,7260,4540,4440
48027,Medicine Hat--Cardston--Warner,38525,1630,6150,6585,8025,7165,4790,4180
48028,Peace River--Westlock,37975,1980,6540,7295,8690,6465,4095,2900
48029,Red Deer--Mountain View,43180,1895,7155,7945,9600,7815,4765,4000
48030,Red Deer--Lacombe,42890,2290,8550,7930,9655,7375,3915,3175
48031,St. Albert--Edmonton,37910,1185,5985,7660,9285,7445,3740,2610
48032,Sherwood Park--Fort Saskatchewan,40460,1005,5460,8525,10480,7710,4500,2785
48033,Sturgeon River--Parkland,37835,1315,6180,7645,9315,7210,3995,2175
48034,Yellowhead,37930,1400,5900,6740,9245,7355,4610,2675
59001,Abbotsford,36060,1495,5395,6515,7535,6290,4065,4765
59002,Burnaby North--Seymour,38455,1590,4480,7180,9145,7595,4535,3935
59003,Burnaby South,42355,1795,6830,8105,9355,7300,4485,4480
59004,Cariboo--Prince George,43795,2045,6045,7740,10125,9285,5185,3365
59005,Central Okanagan--Similkameen--Nicola,45710,1380,4630,5490,8650,9720,7490,8355
59006,Chilliwack--Hope,36720,1180,4715,6215,7875,6785,5155,4810
59007,Cloverdale--Langley City,37080,1110,6850,8460,8115,6235,3515,2795
59008,Coquitlam--Port Coquitlam,39605,785,4770,8550,11365,7695,3765,2680
59009,Courtenay--Alberni,49635,1125,4440,6015,9545,11565,9210,7730
59010,Cowichan--Malahat--Langford,40275,945,5050,6485,9175,8565,5325,4730
59011,Delta,35055,335,2660,6185,9300,7980,5000,3590
59012,Fleetwood--Port Kells,32850,590,3510,7345,9440,6660,2935,2360
59013,Kamloops--Thompson--Cariboo,49430,2025,6000,7620,10810,10510,7405,5055
59014,Kelowna--Lake Country,44100,1515,5825,7465,9925,8585,5795,4990
