Geo_Code,FED_Name,TotPopPrivateHouseholdsByReligion,TotBuddhist,TotChristian,TotAnglican,TotBaptist,TotCatholic,TotChristianOrthodox,TotLutheran,TotPentecostal,TotPresbyterian,TotUnitedChurch,TotOtherChristian,TotHindu,TotJewish,TotMuslim,TotSikh,TotAboriginal,TotOther,TotNoReligiousAffiliation,MaleTotPopPrivateHouseholdsByReligion,MaleBuddhist,MaleChristian,MaleAnglican,MaleBaptist,MaleCatholic,MaleChristianOrthodox,MaleLutheran,MalePentecostal,MalePresbyterian,MaleUnitedChurch,MaleOtherChristian,MaleHindu,MaleJewish,MaleMuslim,MaleSikh,MaleAboriginal,MaleOther,MaleNoReligiousAffiliation,FemaleTotPopPrivateHouseholdsByReligion,FemaleBuddhist,FemaleChristian,FemaleAnglican,FemaleBaptist,FemaleCatholic,FemaleChristianOrthodox,FemaleLutheran,FemalePentecostal,FemalePresbyterian,FemaleUnitedChurch,FemaleOtherChristian,FemaleHindu,FemaleJewish,FemaleMuslim,FemaleSikh,FemaleAboriginal,FemaleOther,FemaleNoReligiousAffiliation
24055,Papineau,107835,3780,63065,245,870,48110,6800,75,795,75,75,6015,4605,240,14535,1850,0,290,19465,53850,1945,29420,100,330,22345,3395,40,320,35,45,2820,2375,90,8220,1210,0,135,10445,53990,1840,33650,150,540,25770,3410,35,475,45,30,3190,2230,155,6310,640,0,145,9020
24056,Pierrefonds--Dollard,107395,1095,70110,2820,960,46755,7730,495,1295,655,1485,7910,4255,9105,9730,1850,0,280,10970,52430,525,33355,1290,465,22135,3990,210,580,290,645,3750,2115,4515,5110,925,0,155,5725,54965,570,36755,1530,500,24620,3745,280,720,370,840,4160,2135,4585,4620,925,0,125,5245
24057,Pontiac,105725,225,86815,2260,670,73930,880,515,800,400,2910,4455,190,170,1055,0,345,365,16550,53460,90,43140,1000,345,37095,465,290,415,185,1310,2030,115,90,545,0,160,165,9160,52270,135,43685,1260,325,36835,415,225,390,215,1600,2420,75,85,515,0,180,205,7395
24058,Portneuf--Jacques-Cartier,102235,30,92300,85,105,90120,60,15,190,25,170,1535,0,0,150,0,45,40,9650,51950,0,46500,35,35,45340,25,0,115,0,75,855,0,0,95,0,0,25,5305,50285,25,45805,50,65,44785,35,0,75,15,90,675,0,0,60,0,0,15,4350
24059,Quebec,92345,305,73590,135,125,70555,210,25,265,70,60,2145,185,25,1270,0,0,185,16775,44705,145,34160,65,45,32680,110,15,130,50,40,1030,115,15,670,0,0,115,9480,47635,160,39425,65,80,37875,95,0,130,20,0,1115,70,0,595,0,0,75,7300
24060,Repentigny,110200,155,98400,60,515,94185,360,10,395,0,35,2820,0,15,1290,0,0,240,10095,54005,60,47450,25,235,45510,170,0,165,0,0,1325,0,0,745,0,0,120,5615,56205,90,50955,35,285,48675,190,0,230,0,25,1500,0,0,545,0,0,125,4480
24061,Richmond--Arthabaska,100745,35,92820,570,385,89490,40,15,140,95,415,1675,0,0,175,0,0,135,7575,50945,0,46545,250,200,44875,20,0,70,60,195,865,0,0,100,0,0,60,4215,49805,30,46275,325,180,44615,15,0,70,35,220,810,0,0,70,0,0,70,3365
24062,Riviere-des-Mille-iles,101875,725,85270,690,275,79885,1010,65,295,105,370,2570,30,2175,1090,0,0,120,12430,50010,325,41090,335,125,38490,565,30,145,50,190,1165,0,1160,545,0,0,40,6820,51865,400,44175,355,150,41390,450,40,150,55,180,1405,0,1015,550,0,0,80,5615
24063,Riviere-du-Nord,99830,125,86735,115,240,83425,255,30,400,10,110,2160,105,75,205,0,0,115,12460,49480,60,42410,85,140,40710,150,0,175,0,65,1075,65,50,130,0,0,70,6705,50350,65,44330,30,100,42715,100,25,225,0,45,1080,40,25,75,0,0,50,5755
24064,Rosemont--La Petite-Patrie,104175,1620,66780,210,365,60825,1280,60,505,105,120,3315,410,270,4920,0,10,290,29875,50575,705,31080,65,170,28310,610,0,170,55,45,1625,195,140,2695,0,0,120,15630,53600,910,35700,145,195,32505,670,25,335,55,80,1690,220,135,2225,0,0,165,14245
24065,Marc-Aurele-Fortin,95460,1525,79245,230,885,69320,3605,75,725,100,70,4220,405,85,5065,50,0,35,9050,46805,695,38545,115,375,33620,1785,30,385,30,30,2170,185,35,2490,20,0,25,4805,48655,825,40705,110,515,35705,1825,45,340,70,45,2045,220,45,2570,30,0,0,4245
24066,Saint-Hyacinthe--Bagot,96855,140,86785,50,360,83950,115,0,535,0,40,1725,0,0,490,0,0,55,9380,48170,75,42520,15,160,41245,65,0,240,0,0,780,0,0,280,0,0,20,5275,48680,70,44260,30,200,42705,45,0,295,0,25,950,0,0,210,0,0,30,4105
24067,Saint-Jean,105825,105,93610,195,330,90750,175,35,165,15,185,1765,0,0,205,0,0,35,11860,52420,40,45755,90,175,44340,85,20,75,0,75,895,0,0,115,0,0,20,6485,53410,65,47850,100,160,46410,90,15,90,0,110,875,0,0,90,0,0,0,5370
24068,Saint-Laurent,92120,3975,50270,590,690,31140,9310,155,925,310,420,6735,2930,6825,15680,105,0,260,12070,44760,1930,23560,285,335,14575,4305,85,385,120,175,3285,1435,3320,8025,50,0,110,6345,47355,2040,26715,305,355,16565,5005,65,540,190,245,3450,1495,3515,7655,60,0,155,5730
24069,Saint-Leonard--Saint-Michel,109315,4135,76520,135,1665,63670,2035,20,1490,55,95,7360,1065,110,18860,85,0,105,8440,51795,1915,35265,60,715,29355,930,10,705,20,25,3455,530,75,9500,30,0,50,4420,57520,2215,41250,75,950,34315,1105,10,785,30,70,3905,530,35,9355,60,0,50,4020
24070,Saint-Maurice--Champlain,107220,35,100445,155,300,97915,40,0,265,0,35,1720,0,10,90,0,305,55,6280,53545,20,49680,85,155,48490,20,0,105,0,0,815,0,0,70,0,155,40,3575,53675,15,50765,75,145,49420,20,0,165,0,30,910,0,0,20,0,145,0,2710
24071,Salaberry--Suroit,104785,60,95950,770,235,89525,175,60,220,725,1135,3105,30,40,110,0,0,100,8485,51595,20,46685,390,120,43600,100,25,80,325,545,1500,0,20,65,0,0,60,4715,53185,40,49260,385,120,45925,75,30,135,400,590,1600,0,20,45,0,0,40,3770
24072,Shefford,104980,145,92200,370,790,87315,70,70,430,0,315,2830,0,20,760,0,0,105,11730,52290,85,45335,175,345,42975,45,40,180,0,175,1400,0,0,395,0,0,45,6415,52685,60,46865,195,440,44340,25,30,245,0,150,1430,0,0,365,0,0,65,5315
24073,Sherbrooke,104045,210,85865,270,360,80575,870,40,240,100,220,3190,280,55,2460,0,10,145,15015,50110,95,40185,150,165,37645,450,25,85,65,85,1520,145,25,1385,0,0,65,8205,53930,110,45680,120,195,42935,425,0,160,35,130,1670,140,30,1075,0,10,80,6805
24074,Vaudreuil--Soulanges,110785,415,90280,3010,540,75555,2580,350,370,705,1825,5355,1030,675,2215,545,0,285,15340,54910,190,43960,1450,215,36790,1335,170,140,300,920,2640,510,370,1230,270,0,130,8255,55875,225,46320,1560,325,38760,1245,180,230,400,905,2710,525,305,985,275,0,160,7085
24075,Terrebonne,105605,110,92085,135,665,86825,405,0,455,15,65,3510,0,50,1580,0,0,30,11735,52590,50,45215,45,270,42795,195,0,215,0,30,1655,0,35,855,0,0,10,6420,53020,60,46865,95,390,44030,205,0,240,0,40,1860,0,15,730,0,0,20,5320
24076,Trois-Rivieres,104730,150,93575,55,355,90715,175,30,265,0,35,1935,0,15,900,0,0,80,9995,50255,90,44060,45,145,42665,105,15,145,0,30,910,0,0,485,0,0,40,5575,54475,60,49515,15,215,48050,65,15,120,0,0,1025,0,0,415,0,0,40,4425
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,100710,1740,54700,1340,510,42365,2645,225,590,405,660,5965,1380,2915,12625,175,0,360,26800,51455,795,26500,690,200,20645,1230,130,225,145,290,2940,785,1410,7150,105,0,155,14555,49255,945,28200,645,310,21720,1415,95,360,255,375,3025,600,1510,5475,75,0,205,12250
24078,Vimy,100460,1725,77245,230,540,61935,8320,70,635,75,250,5185,720,315,8825,245,0,235,11135,48275,835,36100,125,240,28560,4110,35,260,55,155,2560,365,175,4590,140,0,120,5945,52185,890,41145,105,300,33370,4215,40,380,15,90,2630,355,140,4240,100,0,115,5195
35001,Ajax,109220,780,72780,6560,2030,34100,3005,860,4595,2435,6240,12940,6490,410,7550,590,0,250,20365,52810,345,34375,3070,945,16425,1500,365,1950,1235,2630,6250,3050,180,3760,285,0,125,10680,56410,435,38405,3490,1085,17680,1505,500,2645,1200,3610,6695,3440,230,3795,305,0,120,9680
35002,Algoma--Manitoulin--Kapuskasing,78900,140,64150,4910,1235,40365,135,805,1330,895,7960,6515,0,35,0,0,1245,115,13210,39340,70,31295,2445,575,19580,65,445,590,435,3855,3315,0,0,0,0,640,30,7285,39565,70,32850,2465,665,20790,70,365,740,455,4105,3200,0,0,0,0,605,90,5920
35003,Aurora--Oak Ridges--Richmond Hill,104730,2285,57735,4300,1265,29685,6950,865,640,1815,3300,8915,2460,5035,10370,255,0,850,25745,51595,1030,27410,2200,535,14035,3310,400,320,835,1535,4240,1240,2520,5105,140,0,400,13755,53130,1260,30325,2105,725,15650,3635,465,320,980,1765,4680,1215,2510,5265,120,0,450,11985
35004,Barrie--Innisfil,100540,330,68445,8945,2660,29425,1165,1305,1720,3795,10280,9150,160,710,875,75,60,265,29625,49670,145,32785,4390,1310,14325,515,685,735,1640,4760,4420,90,385,450,40,10,110,15650,50870,185,35660,4550,1350,15100,645,620,990,2155,5520,4730,65,330,420,35,50,155,13975
35005,Barrie--Springwater--Oro-Medonte,96450,330,65035,9590,2765,23210,515,930,1275,4875,11780,10095,270,390,620,105,25,265,29420,47280,110,30665,4215,1305,11095,275,450,675,2245,5505,4905,155,180,360,65,10,80,15645,49170,215,34365,5375,1455,12120,240,485,595,2635,6280,5190,110,205,260,40,0,185,13770
35006,Bay of Quinte,107010,235,73585,11715,2720,22390,530,855,1780,2970,18960,11670,285,105,400,60,0,675,31645,51535,100,34075,5340,1285,10575,260,450,800,1350,8655,5365,155,75,195,0,0,280,16625,55470,140,39510,6380,1435,11810,265,405,980,1620,10310,6300,130,30,205,35,0,395,15020
35007,Beaches--East York,106030,1495,55495,6385,1400,25425,5315,920,810,1685,4900,8660,2650,1505,9285,105,140,710,34635,50815,675,25505,2790,655,11580,2670,510,270,740,2130,4160,1165,740,4715,50,100,285,17570,55215,825,29995,3595,750,13845,2650,415,535,950,2770,4495,1485,765,4565,55,40,425,17060
35008,Brampton Centre,102985,1320,60050,4650,1730,30195,1475,560,4040,2020,4195,11180,9840,355,8795,8070,0,345,14210,50605,650,28795,2075,895,14850,830,190,1850,980,1885,5235,4840,150,4340,3990,0,140,7700,52380,670,31255,2575,840,15345,645,375,2185,1035,2310,5945,5000,205,4450,4080,0,205,6515
35009,Brampton East,99330,1335,32540,725,1005,17020,565,85,3610,520,385,8630,19360,95,7630,33555,0,265,4550,49615,670,15800,360,420,8400,325,40,1840,275,185,3950,9630,45,3755,17230,0,150,2340,49720,670,16745,370,580,8620,235,45,1770,250,195,4680,9735,55,3870,16325,0,110,2205
35010,Brampton North,111065,1395,56115,4035,1785,29775,1335,455,4195,1465,3325,9760,12085,190,6750,22515,0,165,11860,55270,720,27035,1880,895,14940,730,225,1985,725,1475,4185,5970,95,3610,11300,0,65,6470,55800,675,29080,2155,895,14835,600,230,2210,740,1845,5570,6110,95,3130,11220,0,100,5390
35011,Brampton South,106055,1140,55405,3995,1605,28315,750,395,4075,1635,3545,11085,10110,90,6415,20355,0,290,12225,52145,555,25990,1645,795,13915,350,180,1750,800,1510,5050,5155,45,3120,10335,0,145,6790,53905,590,29415,2345,805,14405,400,215,2325,835,2040,6035,4960,45,3300,10025,0,150,5430
35012,Brampton West,101885,1520,59275,2565,1700,30250,870,255,6620,1110,1625,14280,12000,100,7380,13295,0,275,8040,49835,760,28240,1135,885,14955,435,125,2885,565,660,6600,6170,50,3600,6495,0,90,4430,52050,760,31035,1435,815,15300,440,125,3735,545,970,7675,5830,50,3775,6800,0,185,3610
35013,Brantford--Brant,130260,700,84395,11680,6675,30455,770,1490,3295,4315,13315,12400,405,110,1110,510,3265,330,39435,63390,375,39455,5455,2990,14155,390,700,1525,1920,6360,5960,215,65,560,225,1565,125,20815,66875,325,44945,6230,3690,16300,380,785,1770,2400,6955,6445,195,55,545,280,1705,205,18625
35014,Bruce--Grey--Owen Sound,103815,115,71805,7150,3840,14620,185,5060,1475,7730,19015,12735,130,155,150,80,295,410,30680,51175,35,34285,3480,1950,7145,75,2430,620,3835,8725,6020,40,65,85,45,150,180,16305,52640,80,37520,3670,1890,7470,110,2630,855,3900,10290,6715,90,95,65,35,145,235,14375
35015,Burlington,118960,505,83520,13095,2295,34745,2505,1590,1240,4620,11715,11725,850,440,1630,520,0,325,31165,57150,210,38035,5860,1135,16030,1165,765,520,2185,5125,5250,440,220,880,285,0,125,16945,61815,290,45480,7235,1155,18710,1340,820,720,2435,6590,6470,410,215,750,235,0,195,14220
35016,Cambridge,110355,890,76820,7495,3745,37780,825,2190,2075,5015,7565,10120,1245,150,3275,1130,0,290,26555,54200,460,36370,3380,1785,18260,435,1040,995,2275,3475,4725,590,80,1710,550,0,145,14300,56155,430,40450,4115,1960,19525,390,1150,1080,2740,4090,5400,655,70,1565,580,0,150,12255
35017,Chatham-Kent--Leamington,108505,335,85895,6490,4065,35710,395,925,2345,3290,12575,20110,215,50,695,25,95,205,20995,52960,175,40855,2915,1740,17300,210,485,1065,1610,5755,9765,105,0,370,0,45,100,11270,55540,160,45040,3570,2320,18405,180,435,1280,1670,6820,10350,110,30,325,0,50,100,9725
35018,Davenport,102040,3475,65770,1985,925,49315,2760,235,1255,1020,1230,7045,1655,1710,2865,235,0,610,25720,50425,1665,31370,985,375,23700,1265,130,540,500,550,3310,940,815,1470,110,0,325,13735,51610,1810,34405,1000,545,25610,1495,100,715,520,680,3735,710,895,1395,120,0,280,11985
35019,Don Valley East,92210,1710,51260,3605,1145,20550,7630,795,1535,1880,3460,10670,3645,830,17860,175,25,515,16195,43405,680,22635,1495,520,9020,3675,355,625,815,1345,4795,1850,475,8850,90,0,190,8625,48800,1030,28625,2105,630,11530,3960,435,910,1070,2115,5875,1800,355,9005,85,0,325,7570
35020,Don Valley North,101905,2975,45920,2650,2390,18540,6220,615,855,1675,2405,10585,3860,4565,10735,180,0,1145,32515,48350,1300,20485,1025,1010,8140,3075,260,350,755,1010,4855,1935,2100,5300,75,0,520,16645,53555,1680,25440,1625,1375,10400,3145,355,505,920,1395,5725,1925,2465,5435,105,0,625,15875
35021,Don Valley West,98935,1185,48105,7655,1215,19250,4035,820,515,1605,6750,6275,1740,8735,13765,170,10,520,24695,47225,485,21380,3470,485,8435,1910,365,220,735,3060,2700,940,4470,6910,85,0,260,12695,51710,705,26730,4185,730,10815,2125,455,295,870,3690,3575,805,4260,6860,80,0,260,12005
35022,Dufferin--Caledon,115055,220,84270,9450,2405,39630,1395,1110,1570,3955,14175,10585,525,215,290,1400,0,310,27815,57400,120,40830,4600,1250,19265,650,525,715,1815,6800,5205,280,95,175,670,0,140,15085,57655,100,43445,4845,1155,20365,745,585,850,2140,7380,5380,250,120,115,725,0,170,12735
35023,Durham,114360,140,79580,9105,2650,29945,1115,820,2700,2800,18765,11690,540,200,960,95,20,285,32545,56635,55,37835,4150,1330,14440,590,345,1355,1220,8760,5645,290,110,515,50,15,125,17635,57730,90,41745,4960,1320,15500,520,470,1340,1580,10000,6040,250,90,445,45,10,155,14910
35024,Eglinton--Lawrence,111000,1270,59780,5625,1270,32970,4395,730,1095,1100,3585,9015,975,24405,3665,150,0,205,20540,51290,530,25960,2425,515,14445,2145,310,430,575,1595,3525,550,11645,1860,90,0,90,10550,59715,740,33820,3200,755,18525,2250,415,670,525,1995,5490,425,12760,1800,60,0,120,9990
35025,Elgin--Middlesex--London,108205,260,75535,7270,5815,20680,305,1380,1350,3885,15520,19340,195,60,730,45,45,495,30835,53315,120,36015,3310,2645,9905,145,700,600,1815,7410,9490,105,30,330,20,20,185,16500,54890,140,39525,3960,3170,10775,160,675,755,2070,8110,9855,90,30,405,30,0,315,14335
35026,Essex,118085,225,95190,7920,2760,58280,1865,1580,2890,1935,7880,10085,310,245,990,250,45,250,20585,58775,100,46275,3665,1420,28935,995,755,1245,820,3545,4895,160,115,445,140,25,130,11375,59315,125,48910,4255,1340,29345,865,820,1645,1115,4330,5185,145,135,535,110,20,115,9215
35027,Etobicoke Centre,113310,910,85355,5130,1275,49945,8555,1185,1155,2865,6765,8485,2400,225,6740,355,0,440,16880,54000,400,39320,2225,525,23365,4130,480,485,1265,2835,4005,1175,110,3280,140,0,215,9355,59310,510,46045,2905,750,26585,4425,700,670,1600,3930,4475,1225,115,3460,215,0,225,7525
35028,Etobicoke--Lakeshore,114310,1315,80225,5540,1420,46340,6310,930,1100,2170,6125,10295,2020,620,4145,320,0,485,25170,55065,645,37235,2470,665,21550,3250,320,490,1030,2615,4845,1045,315,2145,140,0,235,13310,59245,670,42995,3075,760,24790,3060,605,610,1135,3510,5450,975,310,2000,190,0,250,11855
35029,Etobicoke North,116090,1865,60035,2425,1205,31955,1885,330,4810,1330,1475,14615,16775,130,16555,10345,0,455,9925,56615,880,28215,1185,570,15405,885,125,2000,630,675,6730,8520,85,7980,5275,0,210,5440,59475,985,31820,1245,635,16550,1000,205,2810,695,800,7885,8250,40,8575,5065,0,245,4485
35030,Flamborough--Glanbrook,96555,350,71420,7040,2210,34480,1930,905,1490,3415,8235,11715,410,400,1820,585,80,350,21145,47855,120,34245,3160,1055,16590,965,450,660,1755,3850,5750,195,180,970,270,0,165,11665,48700,220,37180,3880,1155,17885,965,450,830,1660,4380,5960,215,215,855,310,45,185,9475
35031,Glengarry--Prescott--Russell,103825,90,92810,3770,725,76615,290,500,805,1030,4135,4935,95,160,370,20,15,135,10135,52030,35,45720,1720,355,37900,125,310,360,440,1975,2540,40,50,205,0,0,70,5895,51790,55,47085,2050,370,38720,160,190,450,585,2160,2400,55,105,170,0,0,60,4245
35032,Guelph,120550,2265,74495,8110,2135,34580,1365,1320,935,5150,9320,11580,1800,490,3185,1195,15,605,36505,58625,1080,34070,3650,1030,16010,665,535,375,2365,3905,5540,795,275,1690,535,0,240,19930,61925,1185,40420,4460,1110,18570,700,785,565,2785,5415,6045,1000,215,1495,655,10,365,16570
35033,Haldimand--Norfolk,105585,135,77760,9120,6485,24080,380,1985,1610,3825,14390,15885,40,100,105,0,110,305,27030,52560,80,37400,4275,3055,11830,180,920,755,1745,6835,7815,15,55,65,0,25,120,14800,53025,60,40355,4845,3435,12255,195,1070,855,2080,7550,8075,25,40,40,0,85,180,12235
35034,Haliburton--Kawartha Lakes--Brock,107745,180,73390,12005,4140,16665,300,1080,2160,4715,22960,9370,135,145,95,45,110,470,33175,53630,70,34935,5470,1905,8240,165,560,1090,2295,10880,4330,80,75,45,20,0,215,18115,54120,110,38455,6535,2235,8430,135,525,1065,2420,12075,5035,50,70,55,25,0,255,15060
35035,Hamilton Centre,97865,1575,57595,5290,1870,29630,1505,955,1325,2500,4095,10410,530,715,3380,100,110,875,32985,49070,755,27600,2340,960,14495,730,380,530,1085,1890,5185,300,395,1800,60,30,345,17790,48785,820,29990,2950,920,15140,770,575,800,1415,2210,5225,225,315,1580,40,80,535,15195
35036,Hamilton East--Stoney Creek,106970,1365,72445,6250,1620,40590,5580,925,1245,2650,5755,7830,1165,145,4540,2995,110,360,23850,51745,690,33455,2695,695,19115,2730,380,555,1085,2425,3780,570,95,2265,1560,40,155,12910,55225,675,38990,3555,925,21475,2860,540,695,1565,3330,4045,595,55,2275,1430,65,200,10940
35037,Hamilton Mountain,102505,730,72110,6165,2115,37055,3120,925,2750,3300,6810,9875,720,100,4615,265,85,400,23480,49630,295,33325,2820,915,17480,1630,380,1210,1490,2905,4500,355,60,2340,140,15,230,12875,52875,435,38790,3355,1200,19570,1485,545,1535,1815,3910,5375,365,45,2275,120,75,165,10610
35038,Hamilton West--Ancaster--Dundas,105750,620,71055,7970,2355,33010,2750,1205,1365,3980,8375,10045,1095,1975,4665,320,65,725,25240,51500,280,33050,3870,935,15735,1470,450,570,1810,3520,4690,555,980,2530,135,0,350,13610,54245,340,38005,4095,1420,17275,1280,750,795,2170,4855,5360,530,995,2135,185,50,375,11630
35039,Hastings--Lennox and Addington,90105,180,65295,10980,1325,18400,210,690,2655,2305,18725,10005,35,110,110,20,120,270,23965,44645,80,31425,5040,785,9035,100,310,1120,1130,8900,5000,20,45,45,0,65,95,12865,45455,110,33870,5935,540,9365,110,380,1530,1175,9830,5005,15,60,65,0,55,170,11105
35040,Huron--Bruce,102790,55,81555,7180,2220,22040,210,4660,1745,7545,23370,12595,130,100,95,0,0,340,20510,51055,20,39465,3570,1070,10465,115,2280,825,3605,11340,6195,70,45,50,0,0,125,11275,51730,35,42085,3605,1150,11575,95,2375,920,3935,12030,6400,60,50,40,0,0,210,9240
35041,Kanata--Carleton,99820,1840,65960,8730,1350,33565,2135,1435,935,1880,8270,7670,1870,560,4245,635,10,565,24125,49235,795,31815,4195,680,16300,965,720,425,955,3965,3620,930,265,2090,325,0,270,12745,50585,1045,34145,4540,670,17265,1175,710,510,925,4305,4045,945,295,2160,310,0,295,11385
35042,Kenora,53260,40,32415,5490,1330,11390,130,2030,1745,615,5290,4400,0,80,20,0,2745,95,17870,26590,25,15365,2675,655,5445,70,930,770,310,2425,2075,0,0,0,0,1380,30,9755,26675,20,17050,2815,670,5945,60,1100,970,300,2865,2330,0,55,10,0,1365,70,8110
35043,King--Vaughan,108490,2665,74410,1810,715,53130,4995,335,1890,1410,2930,7195,5260,4860,7505,1235,0,270,12295,53630,1235,36280,815,340,26065,2430,165,940,690,1490,3345,2645,2320,3860,565,0,125,6595,54865,1425,38130,995,380,27065,2565,175,950,725,1435,3855,2610,2540,3650,665,0,140,5695
35044,Kingston and the Islands,113325,385,74670,11910,1255,31765,1060,825,1855,2200,14420,9380,520,750,1735,130,75,990,34070,54025,200,33530,4950,525,14870,490,350,740,945,6395,4265,295,325,955,45,40,395,18230,59300,185,41140,6960,730,16895,570,475,1110,1250,8030,5115,220,420,780,80,30,595,15845
35045,Kitchener Centre,100755,1300,66575,3660,2530,27635,3995,6305,2180,3090,5405,11775,950,275,3895,255,75,760,26675,49785,660,31165,1665,1175,13100,1925,2950,995,1455,2270,5620,540,145,1950,140,35,365,14790,50970,635,35415,1995,1355,14540,2070,3350,1180,1635,3130,6160,410,130,1940,110,40,395,11885
35046,Kitchener--Conestoga,92270,1285,67885,3695,2465,22315,2120,6055,1480,2980,6150,20625,890,185,3105,585,0,265,18070,45670,630,33055,1790,1220,10700,1115,2910,725,1420,2940,10235,445,85,1440,260,0,90,9645,46600,650,34830,1905,1245,11615,1005,3145,755,1555,3210,10390,440,100,1665,320,0,175,8425
35047,Kitchener South--Hespeler,96490,775,64855,5005,2270,28855,3535,3810,2250,3320,4815,10985,1430,260,4145,995,20,220,23800,48055,370,31215,2330,1040,13900,1805,1850,1070,1590,2200,5435,685,150,2120,460,0,115,12925,48435,400,33640,2675,1235,14955,1735,1960,1185,1725,2620,5555,740,115,2020,530,0,105,10875
35048,Lambton--Kent--Middlesex,103580,100,73720,7620,3800,27110,320,975,1720,4400,15885,11885,110,40,140,0,985,180,28290,51690,50,35835,3560,1815,13530,180,470,755,2005,7445,6075,40,20,70,0,500,75,15085,51890,55,37880,4070,1985,13585,135,505,960,2400,8440,5810,70,20,65,0,485,105,13205
35049,Lanark--Frontenac--Kingston,96120,150,71910,12045,1525,24330,195,675,1755,3495,18070,9825,45,225,150,15,0,430,23190,47960,55,34315,5675,710,11620,105,315,850,1735,8425,4870,25,150,75,0,0,185,13140,48155,95,37590,6370,810,12710,90,360,895,1760,9645,4955,20,70,70,10,0,245,10050
35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,97610,190,74415,14650,1480,23315,505,740,1635,3875,18850,9370,75,120,320,65,45,275,22095,48065,70,35555,6760,660,11150,270,330,785,1930,8965,4705,45,70,190,35,25,95,11980,49540,120,38860,7895,810,12170,240,405,845,1945,9890,4660,30,45,135,30,25,180,10120
35051,London--Fanshawe,117850,1115,74010,8710,3650,33525,1720,1230,1705,3065,9340,11065,450,165,6055,110,120,600,35225,57735,545,34375,3830,1700,15730,870,535,775,1395,4210,5335,215,85,3160,55,70,245,18985,60115,575,39635,4880,1950,17800,850,695,925,1675,5130,5730,235,80,2895,60,50,355,16240
35052,London North Centre,115610,1185,68645,8595,2635,29155,2300,1455,1220,3085,10095,10105,1290,1080,3930,440,100,780,38165,56195,550,31255,3550,1200,13700,1175,575,545,1360,4400,4755,640,515,2055,225,55,355,20545,59410,630,37390,5050,1435,15460,1125,880,670,1725,5700,5345,650,565,1880,220,45,425,17615
35053,London West,117925,370,77370,9480,2970,31870,2415,1630,1320,3715,13340,10640,1015,465,5255,150,65,680,32550,56290,170,35300,4400,1365,14635,1190,815,615,1670,5745,4860,440,205,2540,70,45,330,17195,61635,205,42070,5085,1600,17230,1220,820,705,2045,7590,5780,580,255,2715,80,25,355,15360
35054,Markham--Stouffville,108345,1940,65935,6665,2570,30225,5230,915,1575,2350,5970,10435,8690,645,5350,995,0,280,24500,52815,855,31205,3055,1150,14545,2565,415,835,1050,2705,4890,4485,305,2560,480,0,160,12750,55530,1080,34730,3610,1415,15680,2665,505,745,1300,3265,5545,4210,345,2790,515,0,115,11750
35055,Markham--Thornhill,102380,5640,34150,1440,1390,17770,2640,185,1665,865,1055,7135,17165,5030,10650,2785,20,665,26275,50860,2530,16385,670,605,8570,1435,105,755,385,520,3340,8570,2420,5405,1465,15,290,13790,51520,3115,17770,775,790,9205,1205,80,910,480,530,3795,8590,2615,5250,1325,0,375,12480
35056,Markham--Unionville,104130,5430,45515,2280,3325,21310,4535,305,565,1090,2140,9960,5265,195,5345,660,0,300,41420,50735,2410,21315,1090,1505,10085,2250,105,320,465,930,4575,2575,110,2660,355,0,145,21170,53390,3025,24200,1190,1815,11235,2285,195,250,625,1205,5390,2685,85,2685,305,0,155,20245
35057,Milton,87085,555,56530,5095,1610,31695,1610,415,1095,2500,6020,6490,2540,250,8125,1640,0,240,17190,43065,210,27210,2350,810,15515,835,210,495,1130,2765,3095,1255,170,4255,790,0,110,9070,44020,350,29320,2745,800,16185,775,200,595,1365,3255,3395,1285,80,3870,860,0,130,8120
35058,Mississauga Centre,118185,3440,62550,2580,1525,39950,4695,390,1555,1425,1815,8625,10555,235,19505,3350,0,545,18005,57880,1650,29440,1165,655,18955,2340,200,610,695,865,3955,5230,130,9910,1695,0,235,9600,60305,1795,33110,1415,875,20990,2355,185,940,735,945,4670,5325,110,9595,1655,0,305,8410
35059,Mississauga East--Cooksville,121060,3280,80230,3155,1255,54085,6420,645,1745,1540,2565,8815,7820,215,12435,1245,20,390,15425,58895,1555,37735,1400,470,25930,3165,255,740,720,1090,3955,3740,120,6400,655,0,200,8490,62160,1730,42500,1755,780,28155,3260,390,1005,820,1480,4860,4080,100,6035,595,0,185,6940
35060,Mississauga--Erin Mills,116480,2390,67035,3885,1855,40330,4090,665,1910,2255,3260,8795,6690,350,18840,2355,0,765,18045,57080,1100,31715,1925,860,19400,1930,305,805,1045,1425,4010,3270,190,9710,1180,0,365,9550,59400,1290,35325,1955,985,20925,2160,360,1105,1205,1835,4795,3425,165,9135,1175,0,395,8490
35061,Mississauga--Lakeshore,117330,1085,81035,7730,1640,45030,4270,1395,1425,2820,7710,9005,2170,610,7215,650,0,535,24010,57345,500,38080,3550,720,21560,2075,620,580,1320,3555,4105,1110,275,3790,325,0,260,12995,59980,580,42955,4185,920,23480,2190,770,840,1510,4160,4905,1060,335,3435,320,0,275,11020
