Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015)
35113,Wellington--Halton Hills,50.9,36.5,8.3,0,4,0.3
35114,Whitby,42.1,45,10.3,0,2.2,0.4
35115,Willowdale,37,53.4,7,0,2.2,0.5
35116,Windsor--Tecumseh,27.5,26.6,43.5,0,2,0.5
35117,Windsor West,20.8,25.2,51.3,0,2.3,0.3
35118,York Centre,44,46.9,7.3,0,1.8,0
35119,York--Simcoe,50.2,37.8,8.9,0,3.1,0
35120,York South--Weston,19.2,46,30.4,0,2,2.4
35121,Humber River--Black Creek,20.2,66.9,10.7,0,1.6,0.6
46001,Brandon--Souris,50.3,37.3,6.3,0,6.1,0
46002,Charleswood--St. James--Assiniboia--Headingley,39,52,6,0,2.9,0
46003,Churchill--Keewatinook Aski,10.3,42,45,0,1.8,0.9
46004,Dauphin--Swan River--Neepawa,46.3,29.5,12.3,0,3.8,8.1
46005,Elmwood--Transcona,34,29.5,34.1,0,2.4,0
46006,Kildonan--St. Paul,39.8,42.7,14.3,0,1.8,1.4
46007,Portage--Lisgar,60.8,25.8,6.2,0,4,3.2
46008,Provencher,56.1,34.7,5.3,0,4,0
46009,Saint Boniface--Saint Vital,28.7,58.4,10.6,0,2.3,0
46010,Selkirk--Interlake--Eastman,51.9,31.4,11.4,0,3.5,1.8
46011,Winnipeg Centre,12.4,54.5,28,0,4.1,1.1
46012,Winnipeg North,15.3,68.9,13.4,0,2.4,0
46013,Winnipeg South,34.7,58.3,5,0,2.1,0
46014,Winnipeg South Centre,28.2,59.7,9,0,3.1,0
47001,Battlefords--Lloydminster,61,16.5,17.6,0,1.7,3.2
47002,Cypress Hills--Grasslands,69.2,14.9,13.2,0,2.7,0
47003,Desnethe--Missinippi--Churchill River,30.2,33.9,34.1,0,1.8,0
47004,Carlton Trail--Eagle Creek,64.7,14.4,18.7,0,2.2,0
47005,Moose Jaw--Lake Centre--Lanigan,55.5,18,23.8,0,2.3,0.5
47006,Prince Albert,49.8,19.8,28.5,0,1.9,0
47007,Regina--Lewvan,34.9,27.5,35.2,0,1.8,0.6
47008,Regina--Qu'Appelle,44.7,22.8,30.2,0,2.3,0
47009,Regina--Wascana,30.3,55.1,12.6,0,2.1,0
47010,Saskatoon--Grasswood,41.6,26.4,30.2,0,1.8,0
47011,Saskatoon--University,41.5,25.2,31.5,0,1.5,0.2
47012,Saskatoon West,32.9,24.5,39.6,0,1.7,1.29
47013,Souris--Moose Mountain,70.1,13.5,13.7,0,2.6,0
47014,Yorkton--Melville,59.2,17.8,20.2,0,2.8,0
48001,Banff--Airdrie,63.4,26.1,6.8,0,3.8,0
48002,Battle River--Crowfoot,80.9,9.4,6.5,0,3.2,0
48003,Bow River,77.4,13.7,5.2,0,1.8,1.9
48004,Calgary Centre,45.3,46.5,5.6,0,2.2,0.4
48005,Calgary Confederation,45.9,43.5,7.1,0,3.2,0.2
48006,Calgary Forest Lawn,48,36,9.8,0,3,3.3
48007,Calgary Heritage,63.8,26,7.3,0,2.1,0.79
48008,Calgary Midnapore,66.7,22.6,7.7,0,2.7,0.2
48009,Calgary Nose Hill,60,26.9,8.9,0,2.5,1.6
48010,Calgary Rocky Ridge,60.4,31.7,5.8,0,2.1,0
48011,Calgary Shepard,65.9,24.7,6.8,0,2.6,0
48012,Calgary Signal Hill,60.6,30.6,5,0,2.5,1.4
48013,Calgary Skyview,39.8,45.9,8,0,1.9,4.4
48014,Edmonton Centre,35,37.2,24.5,0,2.6,0.8
48015,Edmonton Griesbach,40,21.7,34,0,2.4,2
48016,Edmonton Manning,45.2,27.6,23.6,0,2.2,1.4
48017,Edmonton Mill Woods,41.1,41.2,12.8,0,2.2,2.7
48018,Edmonton Riverbend,49.9,30.2,17.1,0,2.2,0.7
48019,Edmonton Strathcona,31.3,20.7,44,0,2.3,1.79
48020,Edmonton West,49.3,34.9,13,0,1.9,0.8
48021,Edmonton--Wetaskiwin,65.8,21.5,9.7,0,2.3,0.7
48022,Foothills,75.7,13.4,6.4,0,3.3,1.29
48023,Fort McMurray--Cold Lake,60.6,28.4,7.7,0,1.6,1.79
48024,Grande Prairie--Mackenzie,72.9,14.7,8.1,0,3.1,1.1
48025,Lakeland,72.8,13.7,10.1,0,2.3,1.1
48026,Lethbridge,56.8,18.5,20.5,0,2.6,1.7
48027,Medicine Hat--Cardston--Warner,68.8,17.9,9.7,0,2.6,1
48028,Peace River--Westlock,69.4,12.8,14.4,0,2.5,0.9
48029,Red Deer--Mountain View,74.3,13.4,8.4,0,2.6,1.2
48030,Red Deer--Lacombe,70.7,15,11.4,0,2.9,0
48031,St. Albert--Edmonton,45.2,22.5,11.2,0,1.4,19.7
48032,Sherwood Park--Fort Saskatchewan,63.9,20.4,9.8,0,2.5,3.3
48033,Sturgeon River--Parkland,70.2,15.6,10,0,3,1.1
48034,Yellowhead,72.3,14.2,9,0,2.9,1.6
59001,Abbotsford,48.3,32.8,13.7,0,5,0.2
59002,Burnaby North--Seymour,27.8,36.1,29.6,0,5.3,1.2
59003,Burnaby South,27.1,33.9,35.1,0,2.8,1.1
59004,Cariboo--Prince George,36.6,31.5,25.8,0,3.5,2.5
59005,Central Okanagan--Similkameen--Nicola,39.6,37.2,19.3,0,3.9,0
59006,Chilliwack--Hope,42.3,33.8,18.2,0,4.7,1
59007,Cloverdale--Langley City,34.8,45.5,15.7,0,4.1,0
59008,Coquitlam--Port Coquitlam,32,35.3,27.3,0,3.7,1.8
59009,Courtenay--Alberni,28.2,21.8,38.1,0,11.7,0.2
59010,Cowichan--Malahat--Langford,22.8,23.8,35.9,0,16.9,0.6
59011,Delta,32.8,49.1,14.9,0,3.2,0
59012,Fleetwood--Port Kells,29.3,46.9,21.5,0,2.4,0
59013,Kamloops--Thompson--Cariboo,35.3,30.4,30.8,0,3.6,0
59014,Kelowna--Lake Country,39.8,46.2,14.1,0,0,0
59015,Kootenay--Columbia,36.8,19.5,37.2,0,6.5,0
59016,Langley--Aldergrove,45.6,36.6,12.5,0,4.4,0.9
59017,Mission--Matsqui--Fraser Canyon,34.9,37.2,20.5,0,5.1,2.1
59018,Nanaimo--Ladysmith,23.4,23.5,33.2,0,19.8,0.2
59019,New Westminster--Burnaby,20,29,43.5,0,4.7,2.9
59020,North Okanagan--Shuswap,39.3,29.9,25.6,0,5.2,0
59021,North Vancouver,26.9,56.7,7.8,0,8.3,0.3
59022,Pitt Meadows--Maple Ridge,31.4,33.9,29.6,0,4.2,0.9
59023,Port Moody--Coquitlam,29.5,30.9,36,0,3.4,0.2
59024,Prince George--Peace River--Northern Rockies,52.5,24.9,15.5,0,5.2,2
59025,Richmond Centre,44.2,41.4,11.5,0,2.9,0
59026,Esquimalt--Saanich--Sooke,17.5,27.4,35,0,19.9,0.2
59027,Saanich--Gulf Islands,19.5,16.7,9.1,0,54.4,0.4
59028,Skeena--Bulkley Valley,24.8,18.7,51.1,0,3.6,1.8
59029,South Okanagan--West Kootenay,29.8,28.1,37.3,0,4.2,0.6
59030,South Surrey--White Rock,44,41.5,10.4,0,3.4,0.7
59031,Steveston--Richmond East,38.5,45.1,12.1,0,3.7,0.6
59032,Surrey Centre,19.8,45.1,30.1,0,3.5,1.6
59033,Surrey--Newton,15.7,56,26.1,0,2.2,0
59034,Vancouver Centre,16.9,56.1,20,0,5.8,1.2
59035,Vancouver East,10.8,28.2,49.9,0,9.2,2
59036,Vancouver Granville,26.1,43.9,26.9,0,3.1,0
59037,North Island--Powell River,26.2,25.5,40.2,0,8.2,0
59038,Vancouver Kingsway,21,27.8,45.7,0,3.3,2.2
59039,Vancouver Quadra,25.8,58.7,10.9,0,4.2,0.4
59040,Vancouver South,33.9,48.8,14,0,2.6,0.8
59041,Victoria,11.8,11.8,42.3,0,32.9,1.2
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,26.2,54.6,9.9,0,8.9,0.5
60001,Yukon,24.3,53.7,19.4,0,2.6,0
61001,Northwest Territories,18.3,48.3,30.5,0,2.8,0
62001,Nunavut,24.8,47.1,26.6,0,1.5,0
