Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,25 to 34 years,2580,,
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,35 to 44 years,3965,,
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,45 to 54 years,6360,,
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,55 to 64 years,6485,,
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,65 to 74 years,4080,,
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,75 years and over,3290,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,Total number of private households by age group of primary household maintainers,25045,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,Under 25 years,515,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,25 to 34 years,2330,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,35 to 44 years,3775,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,45 to 54 years,5345,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,55 to 64 years,5605,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,65 to 74 years,4065,,
13006,New Brunswick,Miramichi--Grand Lake,33.9,Household characteristics,75 years and over,3410,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,Total number of private households by age group of primary household maintainers,39605,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,Under 25 years,2400,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,25 to 34 years,6720,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,35 to 44 years,6860,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,45 to 54 years,7665,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,55 to 64 years,6860,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,65 to 74 years,4625,,
13007,New Brunswick,Moncton--Riverview--Dieppe,25.2,Household characteristics,75 years and over,4480,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,Total number of private households by age group of primary household maintainers,26965,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,Under 25 years,575,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,25 to 34 years,3130,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,35 to 44 years,4575,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,45 to 54 years,5980,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,55 to 64 years,5760,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,65 to 74 years,3745,,
13008,New Brunswick,New Brunswick Southwest,33.4,Household characteristics,75 years and over,3195,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,Total number of private households by age group of primary household maintainers,35325,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,Under 25 years,1585,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,25 to 34 years,4980,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,35 to 44 years,5860,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,45 to 54 years,7895,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,55 to 64 years,6755,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,65 to 74 years,4265,,
13009,New Brunswick,Saint John--Rothesay,28.3,Household characteristics,75 years and over,3985,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,Total number of private households by age group of primary household maintainers,28325,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,Under 25 years,775,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,25 to 34 years,3290,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,35 to 44 years,5010,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,45 to 54 years,6370,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,55 to 64 years,5905,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,65 to 74 years,3895,,
13010,New Brunswick,Tobique--Mactaquac,31.4,Household characteristics,75 years and over,3080,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,Total number of private households by age group of primary household maintainers,31305,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,Under 25 years,1370,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,25 to 34 years,5415,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,35 to 44 years,5950,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,45 to 54 years,7215,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,55 to 64 years,5865,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,65 to 74 years,3415,,
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,28.1,Household characteristics,75 years and over,2075,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,Total number of private households by age group of primary household maintainers,44210,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,Under 25 years,1965,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,25 to 34 years,6220,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,35 to 44 years,6660,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,45 to 54 years,10215,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,55 to 64 years,9165,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,65 to 74 years,6020,,
24002,Quebec,Abitibi--Temiscamingue,32.8,Household characteristics,75 years and over,3975,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,Total number of private households by age group of primary household maintainers,48820,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,Under 25 years,1665,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,25 to 34 years,7795,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,35 to 44 years,9660,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,45 to 54 years,9825,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,55 to 64 years,8645,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,65 to 74 years,5420,,
24003,Quebec,Ahuntsic-Cartierville,19.5,Household characteristics,75 years and over,5810,,
24004,Quebec,Alfred-Pellan,16,Household characteristics,Total number of private households by age group of primary household maintainers,36835,,
